University;Faculty;Qualification;Year;Modules;Module Code;SAQA Credits;Description
null;null;null;null;"Molecular and Cell Biology IIB:
Cells and Organisms";MCBG2039A;null;null
null;null;null;null;"Molecular and Cell Biology IIC:
Applications ";MCBG2037A;null;null
null;null;null;3;Genetics and Developmental Biology III;MCBG3034A;null;null
null;null;null;null;"Any other level III major depending
on other course set 
";N/A;null;null
null;null;Bsc Microbiology and Biotechnology;1;Introductory Life Sciences I ;BIOL1000A;null;Microbiology and Biotechnology is the study of small living creatures - the microbes that include bacteria, viruses, yeasts and fungi. The courses offered provide a good basic knowledge of the various groups of microbes, their morphology, metabolism, genetics and taxonomy. Microbiology and Biotechnology embraces environmental biotechnology, industrial microbiology, food and medical microbiology as well as plant genetic engineering
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;null;Auxiliary Mathematics I;MATH1041A;null;null
null;null;null;null;Complementary Life Sciences I ;BIOL1006A;null;null
null;null;Bsc Microbiology and Biotechnology;2;"Molecular and Cell Biology IIA:
Molecular Processes";MCBG2038A;null;null
null;null;null;null;Molecular and Cell Biology IIB: Cells and Organisms;MCBG2039A;null;null
null;null;null;null;"Molecular and Cell Biology IIC:
Applications";MCBG2037A;null;null
null;null;Bsc Microbiology and Biotechnology;3;"Microbiology and Biotechnology III 
";MCBG3035A;null;null
null;null;null;null;"Any other level III major depending
on other course set 
";N/A;null;null
null;null;Bsc Applied Bioinformatics;1;Introductory Life Sciences I ;BIOL1000A;null;"The overall aim of the course is for students to understand the utility of bioinformatics in the scientific field. Students will learn to select, describe and use basic bioinformatics tools and how to interpret computational results. Students will also develop an appreciation of the breadth and shortcomings of available computational approaches. Students should develop the ability to identify the appropriate bioinformatics tool for the task at hand; explain the underlying theory behind these tools; demonstrate the utility of different computational approaches; compare databases and portals; assess the limitations of algorithms and tools; evaluate results of bioinformatics experiments"
null;null;null;null;Chemistry I ;CHEM1012A;null;null
null;null;null;null;Auxiliary Mathematics I;MATH1041A;null;null
null;null;null;null;Mathematics I (Major): • Algebra I;MATH1034A;null;null
null;null;null;null;Mathematics I (Major) • Calculus I;MATH1036A;null;null
null;null;null;null;Physics I (Auxiliary);PHYS1001A;null;null
null;null;Bsc Applied Bioinformatics;2;"Molecular and Cell Biology IIA:
Molecular Processes
";MCBG2038A;null;null
null;null;null;null;"Molecular and Cell Biology IIB:
Cells and Organisms";MCBG2039A;null;null
null;null;null;null;"Molecular and Cell Biology IIC:
Applications ";MCBG2037A;null;null
null;null;Bsc Applied Bioinformatics;3;Applied Bioinformatics III;MCBG3033A;null;null
null;null;null;null;"Any other level III major
depending on other course set";N/A;null;null
null;null;Bsc Ecology & Evolution;1;Introductory Life Sciences I ;BIOL1000A;null;This focus area provides students with insight into the quantitative study and use of ecological, physiological and systematic principles in the context of ecology, conservation and environmental science and its applications in conservation biology and environmental management..
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;null;Complementary Life Sciences I;BIOL1006A;null;null
null;null;Bsc Ecology & Evolution;2;Animal Form and Function II ;APES2033A;null;null
null;null;null;null;Plant Form and Function II;APES2041A;null;null
null;null;null;null;Ecology, Environment and Conservation IIA;APES2039A;null;null
null;null;null;null;Ecology, Environment and Conservation IIB;APES2040A;null;null
null;null;null;null;Life on Earth : Diversity II;APES2042A;null;null
null;null;null;null;Life on Earth : Evolution II;APES2043A;null;null
null;null;null;null;Basic Statistics for the Natural Sciences II ;STAT2013A;null;null
null;null;Bsc Ecology & Evolution;3;Applied Freshwater Ecology and Management III;APES3064A;null;null
null;null;null;null;Field Methods in Terrestrial Ecology III;APES3068A;null;null
null;null;null;null;People and Conservation Field Course III;APES3070A;null;null
null;null;null;null;Palaeontology III;APES3029A;null;null
null;null;null;null;Physiological Entomology III;APES3057A;null;null
null;null;null;null;Plant Propogation and Conservation III;APES3052A;null;null
null;null;null;null;Applied Population Ecology III;APES3065A;null;null
null;null;null;null;Ecological Communities and Biodiversity Conservation III;APES3047A;null;null
null;null;null;null;Environment and Sustainability III;APES3073A;null;null
null;null;null;null;Behavioural Ecology III;APES3066A;null;null
null;null;null;null;Biogeography III;APES3028A;null;null
null;null;Bsc Biodiversity;1;Introductory Life Sciences I;BIOL1000A;null;This exciting focus area provides students with the appropriate skills, knowledge and attitudes that would allow them to enter a wide range of zoological, botanical, and ecological careers and to provide a foundation for future specialisation.
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;null;Auxiliary Mathematics I;MATH1041A;null;null
null;null;null;null;Complementary Life Sciences I;BIOL1006A;null;null
null;null;null;2;Animal Form and Function II;APES2033A;null;null
null;null;null;null;Plant Form and Function II;APES2041A;null;null
null;null;null;null;Ecology, Environment and Conservation IIA;APES2039A;null;null
null;null;null;null;Ecology, Environment and Conservation IIB;APES2040A;null;null
null;null;null;null;Life on Earth : Diversity II;APES2042A;null;null
null;null;null;null;Life on Earth : Evolution II;APES2043A;null;null
null;null;null;null;Basic Statistics for the Natural Sciences II;STAT2013A;null;null
null;null;null;3;Applied Freshwater Ecology and Management III;APES3064A;null;null
null;null;null;null;Field Methods in Terrestrial Ecology III;APES3068A;null;null
null;null;null;null;People and Conservation Field Course III;APES3070A;null;null
null;null;null;null;Service Learning in Biology III;APES3071A;null;null
null;null;null;null;Laboratory Project III;APES3044A;null;null
null;null;null;null;Microscopy;APES3048A;null;null
null;null;null;null;Palaeontology III;APES3029A;null;null
null;null;null;null;Physiological Entomology III;APES3057A;null;null
null;null;null;null;Plant Propogation and Conservation III;APES3052A;null;null
null;null;null;null;Applied Population Ecology III;APES3065A;null;null
null;null;null;null;Ecological Communities and Biodiversity Conservation III;APES3047A;null;null
null;null;null;null;Environment and Sustainability III;APES3073A;null;null
null;null;null;null;Behavioural Ecology III;APES3066A;null;null
null;null;null;null;Biogeography III;APES3028A;null;null
null;null;Bsc Organismal Biology;1;Introductory Life Sciences I;BIOL1000A;null;Animal and plant life are shaped by central processes of evolution, heredity and development. In our School, we focus largely on whole organisms, but cover topics ranging from basic animal or plant biology, including physiology, through to interactions of animals and plants with the biotic and abiotic characteristics of their environments. The syllabus is designed to provide broad competence for careers that involve the biology of animals, plants in relation to their environment, which also include human or veterinary medicine
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;null;Auxiliary Mathematics I;MATH1041A;null;null
null;null;null;2;•Animal Form and Function II;APES2033A;null;null
null;null;null;null;•Plant Form and Function II;APES2041A;null;null
null;null;null;null;• Ecology, Environment and Conservation IIA;APES2039A;null;null
null;null;null;null;•Ecology, Environment and Conservation IIB;APES2040A;null;null
null;null;null;null;•Life on Earth : Diversity II;APES2042A;null;null
null;null;null;null;•Life on Earth : Evolution II;APES2043A;null;null
null;null;null;null;Basic Statistics for the Natural Sciences II;STAT2013A;null;null
null;null;null;3;Applied Freshwater Ecology and Management III;APES3064A;null;null
null;null;null;null;Experimental Field Biology III;APES3067A;null;null
null;null;null;null;Service Learning in Biology III;APES3071A;null;null
null;null;null;null;• Laboratory Project III;APES3044A;null;null
null;null;null;null;• Microscopy;APES3048A;null;null
null;null;null;null;Palaeontology III;APES3029A;null;null
null;null;null;null;Physiological Entomology III;APES3057A;null;null
null;null;null;null;Plant Propogation and Conservation III;APES3052A;null;null
null;null;null;null;Applied Population Ecology III;APES3065A;null;null
null;null;null;null;Ecological Communities and Biodiversity Conservation III;APES3047A;null;null
null;null;null;null;Environment and Sustainability III;APES3073A;null;null
null;null;null;null;Behavioural Ecology III;APES3066A;null;null
null;null;null;null;Biogeography III;APES3028A;null;null
null;null;Bsc Human Biology or Medical Cell Biology;1;Introductory Life Sciences I;BIOL1000A;null;The Human Biology course is designed for students with an interest in biological and forensic anthropology, covering topics such as human skeletal biology, human evolution and human biodiversity. Medical Cell Biology is the study of relevant areas of cell biology, molecular biology and developmental biology with reference to specific disease states. Students will have the opportunity to familiarise themselves with technology used in modern biological research laboratories, as well as research methodology. Both courses provide students with an in-depth coverage of issues in human growth and development, biology and evolution through lectures and independent student work.
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;null;Auxiliary Mathematics I;MATH1041A;null;null
null;null;null;null;Physics I (Auxilliary);PHYS1001A;null;null
null;null;null;2;Human and Comparative Biology II;ANAT2021A;null;null
null;null;null;null;Any two-level II science majors depending on other course set;N/A;null;null
null;null;null;3;Human Biology III;ANAT3002A;null;null
null;null;null;null;Medical Cell Biology III;ANAT3011A;null;null
null;null;null;null;Any other level III science major depending on other course se;N/A;null;null
null;null;Bsc Human Physiology or Applied & Experimental Physiology;1;Introductory Life Sciences I;BIOL1000A;null;The School of Physiology at Wits is the largest and most productive in southern Africa. Many of its past students occupy distinguished positions in science and medicine in South Africa and throughout the world. The course aims to produce scientists and health professionals who have a consolidated and thorough knowledge of physiology and medical biochemistry. We also train students in how to carry out physiological and biochemical measurements. The courses cover the physiology and medical biochemistry of the body e.g. the cardiovascular, central nervous, respiratory and gastrointestinal systems. Courses include a wider perspective covering human as well as animal physiology. Physiology is offered also at third  level in both the Science and Health Sciences Faculties, the emphasis is on the integration and development of the topics taught in second , as well as data collection and/or interpretation.
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;null;Auxiliary Mathematics I;MATH1041A;null;null
null;null;null;null;Physics I (Auxiliary);PHYS1001A;null;null
null;null;null;2;Physiology II;PHSL2000A;null;null
null;null;null;null;Any two-level II science courses depending on other course set;N/A;null;null
null;null;null;3;Human Physiology III;PHSL3006A;null;null
null;null;null;null;Any other level III science major depending on other course set;N/A;null;null
null;null;Bsc BSc in the field of Geographical & Archaeological Sciences;1;Geography I;GEOG1000A;null;Archaeological and Geographical methods and approaches offer an effective means of accessing both deep-time and recent climate and environmental changes, and recording responses by societies. These two courses also offer a broad understanding of global, political and economic factors that shape and change the societies that we live in. Learn about environmental change, policy, systems, information systems and remote sensing: Teaching and research in Geography closely engages with the southern African region while drawing on broad theoretical frameworks and global matters such as climate change, environmental policy and development agendas. An under-graduate degree in Geography provides grounding in: • Earth Systems - from climate studies and meteorology, to earth surface processes, to earth’s biodiversity and ecosystems. • Environmental Change - from land degradation to environmental management. • Environmental Policy - including global and national environmental agendas, shortfalls, and policy implementation. • Geographical Information Systems and Remote Sensing - foundation courses in GIS and Remote Sensing are carried out in our GIS labs during the second and third s of study. • Human Society - looking at economic development, climate and society, cultural geography, food security and urban dynamics. In addition to course work, research forms an important basis for learning in Geography. Students will embark on group fieldwork and independent research and field trips take place throughout the programme. Learn about the origins of humans and the evolution of the technology we use: New discoveries from archaeological sites in South Africa regularly contribute paradigm changing information to the field leading to its global recognition. The South African archaeological record is particularly rich as it covers a period of over two million s, from the first toolmakers to events of the recent past. Archaeology is a rich and dynamic course that grows with each new discovery or advance in technology. As a prospective Archaeologist, amongst other things, you will learn about the origins of humans, the evolution of technology from the Stone Age to the present and rock art. Fieldwork takes you to some of the best archaeological sites in South Africa.
null;null;null;null;Archaeology I;ARCL1000A;null;null
null;null;null;null;Auxiliary Mathematics I;MATH1041A;null;null
null;null;null;null;Algebra I;MATH1034A;null;null
null;null;null;null;Calculus I;MATH1036A;null;null
null;null;null;null;Geology I;GEOL1000A;null;null
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;null;Introductory Life Sciences I;BIOL1000A;null;null
null;null;BSc in the field of Geographical & Archaeological Sciences;1;• Earth and Atmospheric Processes II;GEOG2010A;null;null
null;null;null;null;Conservation Biogeography II;GEOG2014A;null;null
null;null;null;null;Environmental Governance: From Local to Global II;GEOG2012A;null;null
null;null;null;null;Geographic Information Systems, Science and Mapping Systems II;GEOG2013A;null;null
null;null;null;null;Thinking Geographically: Concepts and Practices in Human Geography II;GEOG2015A;null;null
null;null;null;null;Archaeology II;ARCL2002A;null;null
null;null;null;2;Theory and Practice in Sustainability Science and Sustainable Development III;GEOG3023A;null;null
null;null;null;null;Urban Futures: The PoliticalEconomy of Population and Scarcity III;GEOG3025A;null;null
null;null;null;null;Economic Geography III;GEOG3019A;null;null
null;null;null;null;Food: Security, Politics and Culture III;GEOG3026A;null;null
null;null;null;null;Advanced Atmospheric Sciences III;GEOG3021A;null;null
null;null;null;null;Environmental Monitoring and Modelling III;GEOG3024A;null;null
null;null;null;null;Geographic Information Systems and Remote Sensing III;GEOG3017A;null;null
null;null;null;null;Climate and Environmental Change III;GEOG3020A;null;null
null;null;null;null;Archaeology III;ARCL3002A;null;null
null;null;BSc in the field of Actuarial Science;1;Actuarial Science I;STAT1002A;null;The Wits degree has proved to be a sound foundation for the internationally recognised actuarial examination, with over 650 graduates having qualified as Fellow Actuaries since the actuarial programme began in 1983. The School of Statistics and Actuarial Science offers the largest number of accredited courses of any single university on the African continent. The School attracts a large and culturally diverse group of particularly able students, providing extra ordinary opportunities for intellectual exchange and development
null;null;null;null;Mathematical Statistics I;STAT1003A;null;null
null;null;null;null;Algebra I;MATH1034A;null;null
null;null;null;null;• Calculus I;MATH1036A;null;null
null;null;null;null;Economic Theory IA Microeconomics;ECON1016A;null;null
null;null;null;null;Economic Theory IB Macroeconomics;ECON1018A;null;null
null;null;null;null;Business Accounting I;ACCN1000A;null;null
null;null;null;2;Actuarial Science II;STAT2008A;null;null
null;null;null;null;Mathematical Statistics II;STAT2005A;null;null
null;null;null;null;• Basic Analysis II (;MATH2001A;null;null
null;null;null;null;Differential Equations II;MATH2003A;null;null
null;null;null;null;Multivariable Calculus II;MATH2007A;null;null
null;null;null;null;Abstract Mathematics II;MATH2015A;null;null
null;null;null;null;Linear Algebra II;MATH2019A;null;null
null;null;null;null;Transition to Abstract Mathematics;MATH2025A;null;null
null;null;null;3;Computers and Communications for Actuaries III;STAT3021A;null;null
null;null;null;null;Life Contingencies III;STAT3010A;null;null
null;null;null;null;Actuarial Economics III;STAT3015A;null;null
null;null;null;null;Actuarial Reserving Techniques III ;STAT3030A;null;null
null;null;null;null;• Multivariate Data Analysis III;STAT3031A;null;null
null;null;null;null;Risk Theory III;STAT3032A;null;null
null;null;null;null;Statistical Elements of Machine Learning III;STAT3033A;null;null
null;null;null;null;Stochastic Processes II;STAT3034A;null;null
null;null;null;null;Survival Analysis III;STAT3035A;null;null
null;null;null;null;Time Series III ;STAT3036A;null;null
null;null;BSc in the field of Chemistry with Chemical Engineering;1;Chemistry I;CHEM1012A;null;"Chemistry is a branch of science that has its roots in the late 17th century and was born out of alchemy; it is a mixture of natural philosophy, astrology, magic and mysticism. Chemistry has changed. Chemical engineers apply the theories and laws of chemistry, fundamental laws of physics, expressed in mathematical language, and concepts such as course operations and reaction kinetics to develop industrial chemical processes to produce materials that require chemical processing. The chemical engineer usually builds on the findings of the research chemist, who works with small amounts of materials in the laboratory. The chemical engineer is concerned with the design, construction, operation and marketing of equipment that can reproduce on a large scale the processes or products developed by chemists. These include materials needed for specialist applications in the aerospace, automotive, biomedical and electronics industries. In recent s chemical engineers have started working in biotechnology, designing bioreactors for plant cultures or using bacteria to extract minerals from their ores. Another frontier for the chemical engineer has been electronics, where research is conducted on the synthesis of micro-electronic components. The chemists and the chemical engineer often form a closeknit team. The engineer takes over after the chemist has developed a new product or process, such as a new adhesive or an improved way of refining platinum. BSc in the field of Chemistry with Chemical Engineering (including courses from Engineering) is about rigorous science, but it still retains the elements of magic and mystery that excited the alchemists. As we delve into and unlock nature’s secrets, we gain the knowledge and understanding that enables us to create new materials and compounds. A student who completes a Bachelor of Science containing the courses listed below may apply for entry to the third  of the Bachelor of Science in Engineering (Chemical Engineering) in the Faculty of Engineering and the Built Environment (EBE) or the Bachelor of Science with Honours in the Faculty of Science in the field of Chemistry. Admission is at the discretion of the Senate."
null;null;null;null;Algebra I;MATH1034A;null;null
null;null;null;null;Calculus I;MATH1036A;null;null
null;null;null;null;Physics I;PHYS1000A;null;null
null;null;null;null;Engineering Analysis & Design IA;FEBE1002A;null;null
null;null;null;null;Engineering Analysis & Design IB;FEBE1004A;null;null
null;null;null;null;Elementary Sesotho Language and Culture IA;AFRL1005A;null;null
null;null;null;null;• Elementary IsiZulu Language and Culture IA;AFRL1003A;null;null
null;null;null;null;The International Relations of South Africa and Africa I;INTR1010A;null;null
null;null;null;null;Introduction to Political Studies;POLS1007A;null;null
null;null;null;null;• Southern Africa in the Era of Globalisation I;SOCL1013A;null;null
null;null;null;null;• Identity and Society, I;SOCL1014A;null;null
null;null;null;2;Process Engineering Fundamentals;CHMT2021A;null;null
null;null;null;null;Computing for Process Engineering II;CHMT2011A;null;null
null;null;null;null;Electrical Engineering;ELEN2000A;null;null
null;null;null;null;Mathematics II;(MATH2011A);null;null
null;null;null;null;Chemistry IIA;CHEM2001A;null;null
null;null;null;null;Chemistry IIB;CHEM2002A;null;null
null;null;null;null;Economic Concepts IA;ECON1002A;null;null
null;null;null;3;•Chemistry IIIA;CHEM3002A;null;null
null;null;null;null;Chemistry IIIB;CHEM3003A;null;null
null;null;null;null;Applied Chemistry IIIA;CHEM3033A;null;null
null;null;null;null;•Applied Chemistry IIIB;CHEM3034A;null;null
null;null;BSc in the field of Astronomy and Astrophysics;1;Physics I (Major;PHYS1000A;null;"Become an Astrophysicist and reach for the stars! This is exactly what Astrophysicists do; they interpret astronomical data gathered by astronomers and understand how our universe works. Astronomers view the stars and galaxies not only through optical telescopes but also using radio telescopes and microwaves, together with gamma-rays and X-rays. In fact, right across the electromagnetic spectrum – called “Multi-frequency Astronomy”. An exciting career awaits a scientist in the fields of Astronomy and Astrophysics in South Africa. The South African Government was recently instrumental in obtaining the award of the Square Kilometer Array (SKA) project, having a core of radio telescopes in the Karoo, based on our KAT7 (Karroo Array Telescopes consisting of 7 dishes) and the subsequently developed MeerKAT (comprising 64 dishes). The array will stretch throughout the African continent right up to Ghana. In our neighboring country Namibia, the H.S.S.S. (High Energy Stereoscopic System) with 5 telescopes has been producing maps of the night sky featuring gamma-ray sources by detecting the faint light produced in the Earth’s atmosphere as the gamma-rays pass through. A future development to include over 100 telescopes, the Cherenkov Telescope Array (CTA), may very well also be built in Namibia. These very grand observational projects are supported by our own South African Large Telescope (SALT), an optical telescope sited at Sutherland. We live in very exciting times here at the bottom of Africa and are ready to receive calls from the Universe"
null;null;null;null;Algebra I;MATH1034A;null;null
null;null;null;null;Calculus I;MATH1036A;null;null
null;null;null;null;Mathematical Methods and Modelling;APPM1026A;null;null
null;null;null;null;Mechanics I;APPM1028A;null;null
null;null;null;null;Scientific Computing;APPM1030A;null;null
null;null;null;null;Introduction to Astronomy I;PHYS1026A;null;null
null;null;null;null;Modern Astrophysics I;PHYS1027A;null;null
null;null;null;2;Physics IIA;PHYS2001A;null;null
null;null;null;null;• Physics IIB;PHYS2002A;null;null
null;null;null;null;Multivariable Calculus II;MATH2007A;null;null
null;null;null;null;Introduction to Mathematical Statistics II;STAT2012A;null;null
null;null;null;null;Linear Algebra II;MATH2019A;null;null
null;null;null;null;Computational and Applied Mathematics II;APPM2007A;null;null
null;null;null;null;Cosmology: The Origin and Evolution of the Universe II;PHYS2013A;null;null
null;null;null;3;Quantum Mechanics III;PHYS3000A;null;null
null;null;null;null;Applications of Quantum Mechanics III;PHYS3001A;null;null
null;null;null;null;Statistical Physics III;PHYS3002A;null;null
null;null;null;null;Waves and Modern Optics III;PHYS3003A;null;null
null;null;null;null;Advanced Experimental Physics and Project III;PHYS3006A;null;null
null;null;null;null;• Relativity: The Basis of Cosmology and Astrophysics III (;PHYS3007A;null;null
null;null;null;null;Advanced Astrophysics III;PHYS3008A;null;null
null;null;null;null;• Modern Radio and Gamma-ray Astronomy III;PHYS3009A;null;null
null;null;BSc in the field of Materials Science;1;Physics I (Major);PHYS1000A;null;Materials Science is a multidisciplinary field that involves the study of the properties of substances particularly solids and their applications. It involves the design and processing of materials and studying properties such as physical, mechanical, thermal, electronic, and magnetic for the goal of attaining superior performance for various applications. In South Africa, companies such as Sasol, CSIR, Mintek, Element 6, PetroSA, NECSA, Impala, HySA Platinum, Lonmin, AngloGold, Pilot tools, Metallurgical Technologies and Bateman all need Materials Science students with a comprehensive background.
null;null;null;null;• Algebra I;MATH1034A;null;null
null;null;null;null;Calculus I;MATH1036A;null;null
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;2;Materials Science II;CHEM2007A;null;null
null;null;null;null;Multivariable Calculus II;MATH2007A;null;null
null;null;null;null;Differential Equations II (;MATH2003A;null;null
null;null;null;null;Linear Algebra II;MATH2019A;null;null
null;null;null;null;Physics IIA;PHYS2001A;null;null
null;null;null;null;Physics IIB;PHYS2002A;null;null
null;null;null;null;Chemistry IIA (;CHEM2001A;null;null
null;null;null;null;Chemistry IIA;CHEM2001A;null;null
null;null;null;null;Chemistry IIB;CHEM2002A;null;null
null;null;null;null;Physics IIA;PHYS2001A;null;null
null;null;null;3;Materials Science III;CHEM3037A;null;null
null;null;null;null;Chemistry IIIA;CHEM3002A;null;null
null;null;null;null;Chemistry IIIB (;CHEM3003A;null;null
null;null;null;null;Quantum Mechanics III;PHYS3000A;null;null
null;null;null;null;Quantum Mechanics and its Applications III;PHYS3001A;null;null
null;null;null;null;Statistical Physics III;PHYS3002A;null;null
null;null;null;null;Waves and Modern Optics III;PHYS3003A;null;null
null;null;null;null;Advanced Experimental Physics III;PHYS3006A;null;null
