University name;Faculty;Qualification;Year;Module name;Module code;SAQA Credits;Description
null;null;null;1;Physics;PHYS1A1;15;"• Formulate, discuss and explain the basic definitions of physical quantities, the basic principles
and the basic laws encountered in elementary mechanics, waves and heat.
• Derive equations in, explain, interpret and evaluate elementary theoretical models in basic
mechanics, waves and heat.
• Demonstrate a sufficiently deep conceptual understanding of elementary mechanics, waves and
heat to tackle advanced level Physics topics.
• Integrate basic concepts and theories to solve elementary problems in basic mechanics, waves
and heat.
• Recognize and explain aspects of the application of elementary mechanics, waves and heat in
everyday life."
null;null;null;1;Physics;PHYS1B1;15;"• Formulate, discuss and explain the basic definitions of physical quantities, the basic principles
and the basic laws encountered in elementary electricity and magnetism, optics and special
relativity.
• Derive equations in, explain, interpret and evaluate elementary theoretical models in basic
electricity and magnetism, optics and special relativity.
• Demonstrate a sufficiently deep conceptual understanding of elementary electricity and
magnetism, optics and special relativity to tackle advanced level Physics topics.
• Integrate basic concepts and theories to solve elementary problems in basic electricity and
magnetism, optics and special relativity.
• Recognize and explain aspects of the application of elementary electricity and magnetism,
optics and special relativity in everyday life."
null;null;null;2;Physics;PHY00A2;16;"• Formulate, discuss and explain the definitions of physical quantities, the principles and the laws
encountered, in classical mechanics and special relativity.
• Derive equations in, explain, interpret and evaluate advanced theoretical models in classical
mechanics and special relativity.
• Integrate basic concepts and theories to solve problems in advanced mechanics and waves.
• Recognize and explain aspects of the application of classical mechanics and special relativity
in everyday life."
null;null;null;2;Physics;PHY00B2;16;"• Formulate, discuss and explain the definitions of physical quantities, the principles and the laws
encountered in static and dynamic electromagnetism.
• Derive equations in, explain, interpret and evaluate advanced theoretical models in static and
dynamic electromagnetism.
• Integrate basic concepts and theories to solve problems in static and dynamic
electromagnetism.
167
• Recognize and explain aspects of the application of in static and dynamic electromagnetism in
everyday life.
• To execute, collect data, and report on experiments electricity, optics, mechanics, and
thermodynamics."
null;null;null;2;Physics;PHY00Y2;8;"• Formulate, discuss and explain the definitions of physical quantities, the principles and the laws
encountered, in thermal physics, waves, optics and basic quantum physics.
• Derive equations in, explain, interpret and evaluate advanced theoretical models in thermal physics,
waves, optics and basic quantum physics.
• Integrate basic concepts and theories to solve problems in thermal physics, waves, optics and basic
quantum physics.
• Recognize and explain aspects of the application of thermal physics, waves, optics and basic
quantum physics in everyday life."
null;null;null;1;Mathematical Statistics;STA01A1;15;"• Define and apply the basic concepts of probability theory.
• Define and apply random variables, their joint distributions and probability densities."
null;null;null;1;Mathematical Statistics;STA01B1;15;"• Define and apply the basic concepts of probability theory.
• Define and apply continuous random variables, their joint distributions and probability densities.
• Explain the concepts of random sampling, statistical inference and sampling distributions, and
state and use basic sampling distributions related to the normal distribution."
null;null;null;2;Mathematical Statistics;STA02A2;20;"• Understand and apply the general rules of probability theory
• Define the densities and derive the probability/moment generating functions of several types of
commonly occurring discrete random variables.
• Understand and apply the elements of continuous distribution theory"
null;null;null;2;Mathematical Statistics;STA02B2;20;"• Understand and apply the general rules of continuous distribution theory
• Define the densities and derive the moment/cumulant generating functions of several types of
commonly occurring continuous random variables.
• Explain the concepts of random sampling, statistical inference and sampling distributions.
• Describe and apply the main methods of estimation and the main properties of estimators."
null;null;null;3;Mathematical Statistics;STA03A3;30;"• Define and apply the general linear model.
• Explain the concept of a generalised linear model and illustrate its use in problem solving."
null;null;null;3;Mathematical Statistics;STA03B3;30;"• State and apply the basic axioms of probability theory in order to compute the probability of
simple events
• State and apply the addition rules, conditional probability rules, Bayes’ formula, multiplication
rules and statistical independence.
• State the probability distribution and density functions of various discrete and continuous
random variables, evaluate associated probabilities and determine the moments and other
properties of these random variables
• Apply the joint distribution and probability mass function of discretely valued random variables
to compute probabilities and expected values of functions of the random variables.
• Define a random process and apply it to model measurement noise and other random signals.
• Derive the expected value function and the autocorrelation function of a given random process.
• Apply pictorial and tabular techniques, such as empirical distributions, histograms, etc. for
depicting statistical data.
• Compute statistical measures of location and variability, such as sample mean, sample
variance, median, quantiles, percentiles, etc.
• State the Central Limit Theorem, and define the various sampling distributions
(eg.t, chi-squared, F).
• Compute the confidence intervals and apply hypothesis testing for parameters of a population,
for example, the population mean, the population variance, etc.
• Compute the reliability of parallel and series combinations of subsystems."
null;null;null;null;null;null;null;null
University of Johannesburg;Science;Bachelor of Science in Physical Sciences;null;null;null;null;null
null;null;null;1;Chemistry;CEM01A1;15;"• Describe and use chemical vocabulary
• Perform chemical calculations
• Distinguish between the different types of chemical reactions (precipitation, complex
formation, acid-base and redox reactions)
• Identify a limiting reactant through mole ratios, calculate percentage yield in chemical reactions
and perform stoichiometric calculations
• Apply the principles of atomic and molecular structure to solve problems related to chemical
bonding and molecular shapes
• Describe the concept of dynamic equilibrium and write equilibrium constants equations
• Predict the effect of stresses applied to systems in equilibrium
• Discuss different acid-base theories and differentiate between weak and strong acids and
bases.
• Perform quantitative calculations involving acid-base reactions
(pH, pOH, [H3O+
], [OH-
], Kw, buffers).
• Define and apply the five gas laws for ideal gases; derive the density and molecular mass of
gases from these laws and then apply stoichiometry to problems involving gas laws.
• Provide a qualitative description of the gas laws based on the kinetic theory and then
distinguish between an ideal and a real gas and apply this with the use of the Van der Waal’s
equation.
• Explain and differentiate between effusion and diffusion
• Recognise simple organic functional groups and reaction mechanisms.
• Demonstrate the ability to perform laboratory experiments, interpret the results and write a
report."
null;null;null;null;null;null;null;null
null;null;null;null;null;null;null;null
null;null;null;1;Chemistry;CEM1AC1;15;"• Describe and use chemical vocabulary.
• Perform chemical calculations and do appropriate conversions.
• Distinguish between the different types of matter and their properties.
• Understand the Periodic Table of the elements.
111
• Perform stoichiometric calculations.
• Apply the principles of atomic and molecular structure to solve problems related to chemical
bonding and molecular shapes.
• Describe the behaviour of gases.
• Describe various kinds of solutions.
• Describe the concept of dynamic equilibrium and write equilibrium constant equations.
• Predict the effect of stresses applied to systems in equilibrium.
• Discuss the different acid-base theories and differentiate between weak and strong acids and
bases.
• Correlate the terms endothermic and exothermic with the heat flow between a system and its
surroundings and interpret enthalpy, entropy and free energy and know its implications.
• Interpret nuclide symbols.
• Write balanced equations for nuclear processes and perform half-life calculations.
• Demonstrate the ability to perform laboratory experiments, interpret the results and write a
report."
null;null;null;1;Chemistry;CEM1DB1;15;"• Explain the factors involved in energy production, including conversion of energy and the
efficiency of energy conversion.
• Discuss the formation and composition of fossil fuels and to apply this knowledge to the
identification of possible environmental implications.
• Differentiate between renewable and non-renewable energy sources and identify the
advantages and disadvantages of each.
• Identify the layers of the atmosphere and explain the composition thereof.
• Explain stratospheric chemistry, including the formation, chemistry and destruction of the
ozone layer.
• Identify types and sources of air pollutants and their impact on the environment, including
phenomena like acid rain, photochemical smog, particulates and organic contaminants.
• Explain the causes and effects of global warming and the greenhouse effect.
• Demonstrate understanding of the composition of natural waters, including the role of O2, CO2,
carbonates, nitrates, phosphides, natural buffer systems and solubility.
• Discuss the processes involved in water treatment and purification
• Apply knowledge of the composition and chemistry of water to problem solving regarding toxic
metal pollution in the environment."
null;null;null;1;Chemistry;CEM01B1;15;"• Describe and apply principles and definitions of thermochemistry.
• Apply stoichiometry to and differentiate between heat capacity and specific heat obtained from
calorimetric data.
• Apply Hess's Law of heat summation.
• Define and apply the state functions and standard reference form used in the first (internal
energy, enthalpy), second (entropy), and third laws of thermodynamics.
• Relate and apply Gibbs free-energy concepts to equilibrium constant expressions.
• Explain the solution process as well as define and explain the factors that affect solubility.
• Identify and apply colligative properties of solutions as well as define and explain colloidal
systems.
• Explain the factors that affect reaction rates.
• Apply and link the concepts of stoichiometry and reaction rates (limited to zero and first order
reactions only).
• Integrate and apply concepts of concentration, temperature and time to reaction rates (limited
to zero and first order reactions only).
• Explain and apply the principles of electrochemical cells.
• Integrate and apply concepts in electrochemistry and thermodynamics related to
electrochemical changes.
• Demonstrate the required laboratory skills to perform practical work and describe the results
obtained from the data.
• Recognise and identify various functional groups in natural products as well as in synthetic
materials
• Transpose a structure into an IUPAC name and vice versa
• Analyse, compare and differentiate between organic compounds, based on their
stereochemistry and analysis of their conformations
• Explain or suggest acceptable reaction mechanisms
• Combine aspects of the above to propose viable products, starting materials and reagents for
selected transformations"
null;null;null;2;Chemistry;CEM01A2;10;"• Apply principles of atomic and molecular structures.
• Demonstrate and apply the concepts of symmetry and group theory to molecular orbital theory.
• Demonstrate and apply the concepts of covalent and ionic bonding to the stability and reactivity
of inorganic compounds.
• Distinguish, explain and apply valence-bond (VB) theory and molecular orbital (MO) theory.
• Recognise and explain different ionic solids.
• Explain the trends in chemical and physical properties of the main group elements and the dblock metals and correlate them with their inorganic structures.
• Demonstrate the required laboratory skills to perform practical work and describe the results
obtained from the data."
null;null;null;2;Chemistry;CEM02A2;10;"• Apply the principles of chemical thermodynamics in problems related to heat capacity, energy,
enthalpy, entropy and Gibbs energy.
• Apply the principles of reaction kinetics to determine rate laws and rate constants, to predict
variation in rate with temperature change, and to design simple reaction mechanisms.
• Apply the laws of quantum mechanics to translational, vibrational and rotational motion.
• Demonstrate practical skills in the application of physical methods to solve chemical problems."
null;null;null;2;Chemistry;CEM01B2;10;"• Explain the reaction mechanisms of mono-functional organic compounds, including alkenes,
alkynes, alkyl halides, alcohols and selected carbonyl compounds
• Predict and compare the chemical reactivity of mono-functional organic compounds
• Propose syntheses for mono-functional organic materials
• Predict the products of given organic reactions
• Demonstrate the ability to carry out the synthesis and analysis of some organic compounds in
the laboratory"
null;null;null;2;Chemistry;CEM02B2;10;"• Explain the underlying principles and theory of wet chemical analysis.
• Demonstrate proficiency in the application of wet chemical (gravimetric and volumetric)
techniques in qualitative and quantitative chemical analysis.
• Apply selected statistical procedures in analytical data processing.
• Explain the principles underlying the interaction of species in ionic solutions.
• Characterise simple and complex equilibrium systems using theoretical calculations based on
thermodynamic principles.
• Calculate concentrations and equilibrium constants for equilibrium reactions"
null;null;null;3;Chemistry;CEM01A3;7,5;"• Evaluate the order and molecularity of reactions based on principles and/or numerical
examples.
• Discuss the kinetics of multistep reactions based on molecular dynamics.
• Hypothesise collision theory and transition state theory with respect to catalysis.
• Compare the translational, vibrational and rotational motion of a particle.
• Understand principles of surface chemistry and explain the difference between adsorption and
absorption
• Explain various physical and chemical events related to absorption of light and apply the theory
to solving problems relating to photochemical reactions.
• Integrate practical skills in the application of physical methods to solve chemical problems"
null;null;null;3;Chemistry;CEM02A3;7,5;"• Apply the concepts of acids and bases in predicting the outcomes of reactions.
• Demonstrate the ability to apply concepts of bonding and to use these bonding concepts to
predict and/or explain the properties of metal complexes.
• Apply basic knowledge of organometallic chemistry to predict and/or explain metal carbonyl
chemistry.
• Demonstrate laboratory skills in performing practicals in support of theory and to compile and
interpret data obtained in experiments into a formal report."
null;null;null;3;Chemistry;CEM01B3;7,5;"• Explain the underlying principles and theory of electrochemical analysis in relation to
potentiometry, electrogravimetry, coulometry and chromatographic techniques with emphasis
on HPLC and ion chromatography.
• Explain the origins of atomic and molecular spectra and the processes of atomic and molecular
absorption, emission and fluorescence.
• Identify the different instrumental components in ultraviolet-visible, flame atomic absorption
(FAAS), flame atomic emission (FAES), and fluoresce spectrometers (FS).
• Compare and contrast sample introduction techniques in UV-VIS, FAAS, FAES, and FS.
• Understand strategies for correcting sample matrix effects in atomic spectroscopic
measurements.
• Utilize UV-VIS, FAAS, FEAS, and FS in qualitative and quantitative chemical analysis.
• Demonstrate proficiency in the laboratory application of chromatographic separations,
electrochemical and spectroscopic techniques to solve problems in trace analysis."
null;null;null;3;Chemistry;CEM02B3;7,5;"• Demonstrate an understanding of chemical reactivity and reaction mechanisms of aromatic
compounds, and account for the unusual stability of aromatic compounds in comparison with
aliphatic analogues. Various approaches to the synthesis of aromatic compounds should be
able to be compared with the view to designing a viable synthesis of multifunctional aromatic
products.
• Show an understanding of the reactions and reaction mechanisms of carbonyl compounds.
This understanding should be used to evaluate a synthetic protocol to be applied to the
synthesis of carbonyl compounds and to propose methods of preparing such materials.
• Identify some organic materials on the basis of NMR spectroscopy.
• Predict the outcomes of some pericyclic reactions based on FMO theory.
• Show competence in the synthesis and characterisation of some organic compounds in the
laboratory and to write a report on the outcomes of the experiments."
null;null;null;1;Computer Science;CSC01A1;15;"• Analyse, Design and interpret an algorithm
• Program algorithms in an object oriented language such as C++.
• Use a computer to solve programming problems.
• Demonstrate computer programs in C++."
null;null;null;1;Computer Science;CSC01B1;15;"• Distinguish between classes and objects.
• Explain object-oriented principles.
• Apply object-oriented principles during the development of programs.
• Explain the role of graphic interfaces, events, processes and threads.
• Develop programs that implement graphic user interfaces, events, processes and threads.
• Explain the principles of distributed processing."
null;null;null;2;Computer Science;CSC02A2;20;"• Distinguish between classes and objects.
• Explain object-oriented principles.
• Apply object-oriented principles during the development of programs.
• Explain the role of graphic interfaces, events, processes and threads.
• Develop programs that implement graphic user interfaces, events, processes and threads.
• Explain the principles of distributed processing."
null;null;null;2;Computer Science;CSC02B2;20;"• Describe ISO and Internet protocols.
• Evaluate ISO and Internet protocols against each other.
• Use protocol specifications to establish the design and functioning of protocols not discussed
in the lectures.
• Apply principles of network protocol design
• Explain how data, voice and video signals are transmitted over a computer network.
• Describe components of computer networks.
• Analyse various types of computer network topologies.
• Develop object-oriented Java programs to transmit messages between workstations on a
computer network"
null;null;null;1;Mathematics;MAT01A1;15;"• Understand and apply the basics concepts and operations of set theory.
• Define absolute values and solve equations containing absolute values.
• Identify different proof techniques and apply them correctly to prove mathematical
statements.
• Understand and apply the basic ideas of logic.
• Define complex numbers and use their properties to perform operations on equations
containing complex numbers.
• Define limits and use limit laws to evaluate basic limits as well as limits of indeterminate form.
• Express the basic theoretical concepts underlying differentiation and integration.
• Differentiate and integrate basic exponential, logarithmic, trigonometric and hyperbolic
functions."
null;null;null;1;Mathematics;MAT01B1;15;"• Apply different integration techniques to integrate exponential, logarithmic, trigonometric and
rational functions and evaluate improper integrals.
• Sketch calculus functions using methods of graph sketching.
• Apply the concepts of differentiation in solving calculus-related word problems.
• Determine areas under curves and volumes of solids of revolution by applying techniques of
integration.
• Solve first-order differential equations.
• Employ polar coordinates to parameterise curves.
• Represent systems of linear equations using matrices and solve such systems using
Gaussian elimination.
• Comprehend the binomial theorem and use it to expand binomial expressions"
null;null;null;2;Mathematics;MAT01A2;10;"• Describe and apply basic concepts and theory underlying the convergence of sequences and
series, and apply the precise definition of convergence where necessary.
• Describe and apply basic concepts and theory underlying the Taylor and Maclaurin series of
functions, as well as approximate functions by polynomials.
• Extend and apply the calculus of single-variable functions to vector-valued functions."
null;null;null;2;Mathematics;MAT02A2;10;"• Define and comprehend the basic theoretical concepts underlying Linear Algebra.
• Comprehend the geometry and the algebra of vectors.
• Solve linear systems.
• Comprehend the algebra of Matrices.
• Apply matrices and linear transformation to solve mathematically related problems.
• Comprehend concepts relating to generalised vector spaces and subspaces.
• State and prove theorems in Linear Algebra."
null;null;null;2;Mathematics;MAT04A2;10;"• Demonstrate an integrated knowledge of the core concepts, theory, and techniques relating to
the syntax and semantics of propositional and predicate logic and to selected deductive systems
for these languages.
• Construct correct and appropriate combinatorial strategies for the efficient solution of counting
problems.
• Apply the theory and techniques of basic number theory to solve problems relating to properties
of divisibility and modular arithmetic, and to construct and use RSA cryptographic terms."
null;null;null;2;Mathematics;MAT01B2;10;"• Investigate continuity of several variable functions, using the precise definition of a limit, where
necessary.
• Determine limits, gradients, partial derivatives and directional derivatives and apply these
concepts to problem solving.
• Apply optimization theory to problems.
• Determine and evaluate multiple integrals and extend use of double and triple integrals to the
physical sciences.
• Extend and apply multiple integration techniques to vector-valued functions."
null;null;null;2;Mathematics;MAT02B2;10;"• Define and comprehend the basic theoretical concepts underlying Linear Algebra.
• State and prove theorems in Linear Algebra.
• Comprehend the concept of orthogonality.
• Define concepts on vector spaces and subspaces.
• Determine eigenvalues and eigenvectors of a given matrix.
• Comprehend the concepts and the theory of linear transformations.
• Comprehend the concepts and the theory of inner product spaces.
• Apply the theory of vector spaces and inner product spaces to solve related problems."
null;null;null;2;Mathematics;MAT04B2;10;"• Define and explain groups and recognize elementary properties of groups.
• Determine subgroups as well as cyclic subgroups and generators.
• Distinguish between isomorphisms, homomorphisms and automorphisms.
• Formulate theorems and proofs related to group theory.
• Demonstrate a thorough understanding of cosets, normal subgroups and external direct products.
• Correctly use and apply the basic terminology and concepts relating to combinatorial graphs.
• Apply path algorithms and tree traversal algorithms to problems involving graphs.
• Solve real world problems via graph theoretic modelling, e.g. solve scheduling problems by modelling
as graph colouring problems."
null;null;null;3;Mathematics;MAT01A3;15;"• Define and explain the Completeness Property of the real numbers.
• Describe the theory and properties of sequences and continuous functions.
• Demonstrate a thorough understanding of the theory of the Riemann Integral.
• Solve problems related to the abovementioned topics."
null;null;null;3;Mathematics;MAT02A3;15;"• Demonstrate a mastery of the basic theory involving sets, relations and order and be able to
solve problems, related to these topics.
• Demonstrate an integrated knowledge of the core concepts, theory, and techniques relating to
the syntax and semantics of propositional logic and to selected deductive systems for this
language.
• Construct correct and appropriate combinatorial strategies for the efficient solution of counting
problems.
• Apply the core theory and techniques of basic graph theory to prove propositions and solve
problems."
null;null;null;3;Mathematics;MAT01B3;15;"• Check for analyticity of a given complex function by using the Cauchy-Riemann equations.
• Graphically represent the images of regions under various conformal mappings.
• Calculate integrals from first principles.
• Calculate integrals using Cauchy’s integral formulas as well as by using the Residue method.
• Calculate the Laurent series of a given complex function centred at a given point.
• Calculate difficult real integrals by using methods from complex analysis. "
null;null;null;3;Mathematics;MAT02B3;15;"• Define the basic concepts and theory of integers, groups and rings: prime factorization
divisibility, equivalence relations, groups, subgroups, normal subgroups, quotient groups,
homomorphisms, isomorphisms and introductory concepts to rings and fields.
153
• Formulate and proof the basic theorems of integers, groups and rings: prime factorization
divisibility, equivalence relations, groups, subgroups, normal subgroups, quotient groups,
homomorphisms, isomorphisms and introductory concepts to rings and fields.
• Solve problems by first analysing it and then applying integrated knowledge in the abovementioned topics using the theory of abstract algebra."
null;null;null;1;Physics;PHYS1A1;15;"• Formulate, discuss and explain the basic definitions of physical quantities, the basic principles
and the basic laws encountered in elementary mechanics, waves and heat.
• Derive equations in, explain, interpret and evaluate elementary theoretical models in basic
mechanics, waves and heat.
• Demonstrate a sufficiently deep conceptual understanding of elementary mechanics, waves and
heat to tackle advanced level Physics topics.
• Integrate basic concepts and theories to solve elementary problems in basic mechanics, waves
and heat.
• Recognize and explain aspects of the application of elementary mechanics, waves and heat in
everyday life."
null;null;null;1;Physics;PHYS1B1;15;"• Formulate, discuss and explain the basic definitions of physical quantities, the basic principles
and the basic laws encountered in elementary electricity and magnetism, optics and special
relativity.
• Derive equations in, explain, interpret and evaluate elementary theoretical models in basic
electricity and magnetism, optics and special relativity.
• Demonstrate a sufficiently deep conceptual understanding of elementary electricity and
magnetism, optics and special relativity to tackle advanced level Physics topics.
• Integrate basic concepts and theories to solve elementary problems in basic electricity and
magnetism, optics and special relativity.
• Recognize and explain aspects of the application of elementary electricity and magnetism,
optics and special relativity in everyday life."
null;null;null;2;Physics;PHY00A2;16;"• Formulate, discuss and explain the definitions of physical quantities, the principles and the laws
encountered, in classical mechanics and special relativity.
• Derive equations in, explain, interpret and evaluate advanced theoretical models in classical
mechanics and special relativity.
• Integrate basic concepts and theories to solve problems in advanced mechanics and waves.
• Recognize and explain aspects of the application of classical mechanics and special relativity
in everyday life."
null;null;null;2;Physics;PHY00B2;16;"• Formulate, discuss and explain the definitions of physical quantities, the principles and the laws
encountered in static and dynamic electromagnetism.
• Derive equations in, explain, interpret and evaluate advanced theoretical models in static and
dynamic electromagnetism.
• Integrate basic concepts and theories to solve problems in static and dynamic
electromagnetism.
167
• Recognize and explain aspects of the application of in static and dynamic electromagnetism in
everyday life.
• To execute, collect data, and report on experiments electricity, optics, mechanics, and
thermodynamics."
null;null;null;2;Physics;PHY00Y2;8;"• Formulate, discuss and explain the definitions of physical quantities, the principles and the laws
encountered, in thermal physics, waves, optics and basic quantum physics.
• Derive equations in, explain, interpret and evaluate advanced theoretical models in thermal physics,
waves, optics and basic quantum physics.
• Integrate basic concepts and theories to solve problems in thermal physics, waves, optics and basic
quantum physics.
• Recognize and explain aspects of the application of thermal physics, waves, optics and basic
quantum physics in everyday life."
null;null;null;3;Physics;PHY00A3;30;"• Grasp and master the mathematical formalism on which modern advanced physics is based.
• Formulate, discuss and explain the definitions of physical quantities, the principles and the basic
laws encountered in statistical physics and solid state physics.
• Derive equations in, explain, interpret and evaluate theoretical models in statistical physics and
solid state physics.
• Integrate concepts and theories to solve problems in statistical physics and solid state physics.
• Recognize and explain aspects of the application of statistical physics and solid state physics
in everyday life and in technology.
• Conduct appropriate experimental work in the laboratory, analyse data and report her/his
results."
null;null;null;3;Physics;PHY00B3;30;"• Grasp and master the mathematical formalism on which modern advanced physics is based.
• Formulate, discuss and explain the definitions of physical quantities, the principles and the basic
laws encountered in statistical physics and solid state physics.
• Derive equations in, explain, interpret and evaluate theoretical models in statistical physics and
solid state physics.
• Integrate concepts and theories to solve problems in statistical physics and solid state physics.
• Recognize and explain aspects of the application of statistical physics and solid state physics
in everyday life and in technology.
• Conduct appropriate experimental work in the laboratory, analyse data and report her/his
results."
null;null;null;null;null;null;null;null
University of Johannesburg;Science;Bachelor of Science in Information Technology;null;null;null;null;null
null;null;null;1;Informatics;IFM100;12;"• Solve programming problems using a computer.
• Analyse, design and program algorithms.
• Use control structures in algorithms and computer programs.
• Demonstrate the use of arrays and records in computer programs.
• Demonstrate computer programs."
