University;Faculty;Qualifications;Year;Modules;Module Code;SAQA Credits;Description
null;null;null;null;English 120;ENG 120;null;"This module introduces the study of post-nineteenth century literature by examining a number of texts
representing different genres (poetry, drama, prose). Texts will be from both Africa and other parts of the world.
By the end of this module students should have the background and analytical skills to perceptively read
modern and contemporary poetry, novels and plays."
null;null;null;null;French for beginners 104;FRN 104;null;"An intensive introductory study of the French language focusing on the acquisition of basic communication skills,
namely listening, reading, speaking and writing. It also offers a brief introduction to the culture of Frenchspeaking countries. This module complies with the requirements for level A2 set by the “Common European
Framework of Reference for Languages”."
null;null;null;null;Informatics 112;INF 112;null;"Introduction to information systems, information systems in organisations, hardware: input, processing, output,
software: systems and application software, organisation of data and information, telecommunications and
networks, the Internet and Intranet. Transaction processing systems, management information systems,
decision support systems, information systems in business and society, systems analysis, systems design,
implementation, maintenance and revision."
null;null;null;null;Statistics 110;STK 110;null;"Sampling and the collection of data; frequency distributions and graphical representations. Descriptive
measures of location and dispersion.
Probability and inference:
Introductory probability theory and theoretical distributions. Sampling distributions. Estimation theory and
hypothesis testing of sampling averages and proportions (one and two-sample cases). Supporting mathematical
concepts. Statistical concepts are demonstrated and interpreted through practical coding and simulation within
a data science framework."
null;null;null;null;Statistics 113;STK 113;null;"Data operations and transformations: Introductory concepts, the role of statistic, various types of data and the
number system. Concepts underlying linear, quadratic, exponential, hyperbolic, logarithmic transformations of
quantitative data, graphical representations, solving of equations, interpretations. Determining linear equations
in practical situations. Characteristics of logarithmic functions. The relationship between the exponential and
logarithmic functions in economic and related problems. Systems of equations in equilibrium. Additional
concepts relating to data processing, functions and inverse functions, sigma notation, factorial notation,
sequences and series, inequalities (strong, weak, absolute, conditional, double) and absolute values. Descriptive
statistics – Univariate: Sampling and the collection of data, frequency distributions and graphical
representations. Descriptive measures of location and dispersion. Probability: Introductory probability theory.
Theoretical probability distributions. Identification, use, evaluation and interpretation of statistical computer
packages and statistical techniques. The weekly one hour practical is presented during the last seven weeks of
the semester."
null;null;null;null;Statistics 120;STK 120;null;"Analysis of variance, categorical data analysis, distribution-free methods, curve fitting, regression and
correlation, the analysis of time series and indices. Statistical and economic applications of quantitative
techniques: Systems of linear equations: solving and application. Optimisation, linear functions, non-linear
functions. Marginal and total functions. Stochastic and deterministic variables in statistical and economic
context: producers' and consumers' surplus. Supporting mathematical concepts. Statistical concepts are
illustrated using simulation within a data science framework.
This module is also presented as STK 121, an anti-semester module. This is a terminating module."
null;null;null;null;Statistics 123;STK 123;null;"Optimisation techniques with economic applications: Data transformations and relationships with economic
applications, operations and rules, linear, quadratic, exponential, hyperbolic and logarithmic functions; systems
of equations in equilibrium, system of linear inequalities, solving of linear programming problems by means of
the graphical and extreme point methods. Applications of differentiation and integration in statistic and
economic related problems: the limit of a function, continuity, rate of change, the derivative of a function,
differentiation rules, higher order derivatives, optimisation techniques, the area under a curve and applications
of definite integrals. Probability and inference: Theoretical probability distributions (revision only). Sampling
distributions. Estimation theory and hypothesis testing of sampling averages and proportions (one-sample and
two-sample cases). Identification, use, evaluation and interpretation of statistical computer packages and
statistical techniques. The weekly one hour practical is presented during the last seven weeks of the semester."
null;null;null;2;International relations;IPL 210;null;"International theory and organisation
What causes war and peace? Can international order and justice be reconciled? Does the international structure
matter? The answers depend on the theoretical lenses through which world politics are viewed. An overview is
provided of competing theoretical perspectives of international relations. It includes mainstream and alternative
perspectives, as well as the underlying ideas, theories and variants of each. These theories also propose
different approaches to global peace, amongst others peace through international organisation. A
comprehensive analysis is made of selected international organisations with a universal or regional scope, such
as the United Nations, the African Union and the Southern African Development Community, and of international
law that underpins these organisations and their activities"
null;null;null;null;International relations 220;IPL 220;null;"Foreign policy and diplomacy
A short introduction to the study of foreign policy is followed by an explanation of the use of the comparative
method and a framework for foreign policy analysis and evaluation. This allows for a comparative study of the
foreign policies of selected states from the major regions of the world, amongst others of South African foreign
policy. In each case study the policy environment, the formulation and implementation processes, as well as the
substance of the particular state’s foreign policy are covered. Thereafter the focus narrows to diplomacy: the
oldest, most versatile and universally used instrument of foreign policy. The nature, history, modes of diplomacy
and legal framework of the institution are explored. Examples are drawn from global practice, with specific
consideration of the evolution of diplomatic practice within the African and South African context."
null;null;null;null;Communication management 281;KOB 281;null;"Acquiring basic business communication skills will enhance the capabilities of employees, managers and leaders
in the business environment. An overview of applied skills on the intrapersonal, dyadic, interpersonal, group
(team), organisational, public and mass communication contexts is provided. The practical part of the module
(for example, the writing of business reports and presentation skills) concentrates on the performance
dimensions of these skills as applied to particular professions."
null;null;null;null;Public administration 212;PAD 212;null;"This module in public administration constitutes an in-depth analysis of the generic administrative functions,
including, policy making, organising, financing, staffing and control. Students will thus be equipped with
knowledge and skills related to government strategic planning, policy-making and decision-making, budgeting,
public procurement, human resource management functions and employment legislation impacting on human
resources within public organisations."
null;null;null;null;Public administration 222;PAD 222;null;"This module in public administration introduces the student to the process of planning, executing and evaluating
research in the public sector. Students will be enabled to identify, plan, execute and present a research project.
This is a service learning module and as such students will be expected to complete approximately 15 hours
service learning and submit a portfolio as part of their formal assessment"
null;null;null;null;Political science 210;STL 210;null;"Political dynamics (Micro)
The study of the theory and practice of behavioural phenomena in politics. With reference to appropriate
examples, the emphasis is on the study of political culture, leadership, communication, interests groups, parties
and party systems; on elections, electoral systems, voting behaviour; and on public opinion and direct popular
control technique"
null;null;null;null;Political science 220;STL 220;null;"Political dynamics (Macro)
A theoretical basis and framework is provided for the description, analysis and classification of political and
policy problems. The emphasis is on the nature of the state, governance and conflict in Africa. Amongst others a
study is made of the issues of colonialism and post-colonialism, democratisation, authoritarianism and the
development of the state in Africa, in the context of a globalising world."
null;null;BCom (Accounting Sciences);1;Business acumen 100;BUS 100;null;"set goals, acquire and monitor new knowledge, skills or experiences and be able to apply interpersonal skills to function within a group setting.
To use an informed understanding of their basic foundational knowledge and skills in an intra-, inter-, multi- and
transdisciplinary simple familiar business context to identify ethical and authentic business-related problems and present adequate ethical solutions that are in the interest of specific stakeholders."
null;null;null;null;Economics 110;EKN 110;null;"This module deals with the core principles of economics. A distinction between macroeconomics and
microeconomics is made. A discussion of the market system and circular flow of goods, services and money is
followed by a section dealing with microeconomic principles, including demand and supply analysis, consumer
behaviour and utility maximisation, production and the costs thereof, and the different market models and firm
behaviour. Labour market institutions and issues, wage determination, as well as income inequality and poverty
are also addressed. A section of money, banking, interest rates and monetary policy concludes the course."
null;null;null;null;Economics 120;EKN 120;null;"This module deals with the core principles of economics, especially macroeconomic measurement the private
and public sectors of the South African economy receive attention, while basic macroeconomic relationships and
the measurement of domestic output and national income are discussed. Aggregate demand and supply
analysis stands core to this course which is also used to introduce students to the analysis of economic growth,
unemployment and inflation. The microeconomics of government is addressed in a separate section, followed by
a section on international economics, focusing on international trade, exchange rates and the balance of
payments. The economics of developing countries and South Africa in the global economy conclude the course."
null;null;null;null;Financial decision-making 120;FDM 120;null;"calculate costs of relevant items
prepare and present forecasts
identify costing, forecasting and ethical problems and
propose adequate ethical solutions based on sound principles that are in the interest of specific stakeholders."
null;null;null;null;Informatics 112;INF 112;null;"Introduction to information systems, information systems in organisations, hardware: input, processing, output,
software: systems and application software, organisation of data and information, telecommunications and
networks, the Internet and Intranet. Transaction processing systems, management information systems,
decision support systems, information systems in business and society, systems analysis, systems design,
implementation, maintenance and revision."
null;null;null;null;Informatics 183;INF 183;null;Computer processing of accounting information.
null;null;null;null;Business management 114;OBS 114;null;"The entrepreneurial mind-set; managers and managing; values, attitudes, emotions, and culture: the manager
as a person; ethics and social responsibility; decision making; leadership and responsible leadership; effective
groups and teams; managing organizational structure and culture inclusive of the different functions of a generic
organisation and how they interact (marketing; finance; operations; human resources and general
management); contextualising Sustainable Development Goals (SDG) in each of the topics"
null;null;null;null;Responsible reporting 100;RRP 100;null;"prepare, present and interpret the external reports
identify reporting and ethical problems and
propose adequate ethical solutions that are in the interest of specific stakeholders."
null;null;null;null;Statistics 122;STC 122;null;"Inferential concepts. Experimental and observational data. Measures of association, uncertainty and goodness of
fit. Sampling error and accuracy of estimation. Introduction to linear regression, reduction of variation due to
regression. Conditional distributions of residuals. Simulation based inference: conditional means and prediction
intervals. Bivariate data visualisation. Supporting mathematical concepts. Statistical concepts are demonstrated
and interpreted through practical coding and simulation within a data science framework.
This module is also presented as a summer school for students who initially elected and passed STK 120 with a
final mark of at least 60% and then decides to further their studies in statistics as well as for students who
achieved a final mark of between 40% - 49% in STC 122 during semester 2."
null;null;null;null;Statistics 110;STK 110;null;"Sampling and the collection of data; frequency distributions and graphical representations. Descriptive
measures of location and dispersion.
Probability and inference:
Introductory probability theory and theoretical distributions. Sampling distributions. Estimation theory and
hypothesis testing of sampling averages and proportions (one and two-sample cases). Supporting mathematical
concepts. Statistical concepts are demonstrated and interpreted through practical coding and simulation within
a data science framework."
null;null;null;2;Professional ethics 221;BPE 221;null;"This module will provide students with an appropriate conceptual understanding of detailed foundational
knowledge of the philosophy underpinning the moral issues influencing human agency in economic and political
contexts such that students will
understand and identify moral problems and
engage in reasoned debate to propose appropriate ethical solutions that are in the interest of relevant
stakeholders."
null;null;null;null;Business acumen 200;BUS 200;null;"set goals, acquire and reflect on new knowledge, skills or experiences and
influence themselves and others in straightforward and unambiguous settings.
To use an appropriate conceptual understanding of their detailed foundational knowledge and skills in an intra-,
inter-, multi- and transdisciplinary familiar business context that is relevant to a company or basic group of
companies to
 identify and analyse ethical and authentic business-related problems and
 present appropriate ethical solutions with adequate justification that are in the interest of relevant
stakeholders"
null;null;null;null;Financial decision-making 200;FDM 200;null;"To use an appropriate conceptual understanding of detailed foundational knowledge of financial decision-making
principles in a familiar business context that is relevant to a company or basic group of companies to
calculate the impact or outcome of a financial decision
identify decision-making and ethical problems
propose appropriate ethical solutions with adequate justification
that are in the interest of relevant stakeholders."
null;null;null;null;Governance and assurance 200;GOA 200;null;"To use an appropriate conceptual understanding of detailed foundational knowledge of business processes,
governance and assurance principles as it is applied in a familiar business context of a company or basic group
of companies to
 identify ethics and assurance-related problems and
 propose appropriate ethical solutions with adequate justification that are in the interest of relevant
stakeholders."
null;null;null;null;Human resource management 220;HRC 220;null;"This module will provide an introduction to the management of organisational behavior. The focus of this module
will be on the management of individual and team performance. Specific attention will be given to leadership
and how leaders can improve the performance of individuals and teams through teamwork, mentoring, and the
effective management of relationships and conflict. In addition, organisational culture and the relationship
between employer and employee in managing the work environment, diversity and equality practices will be
addressed."
null;null;null;null;Informatics 264;INF 264;null;"Foundation of databases and query languages which are relevant to the application of information systems
within a business environment."
null;null;null;null;Commercial law 201;KRG 201;null;SA legal system, relevant laws and regulations applicable to the public and commercial sectors.
null;null;null;null;Responsible reporting 200;RRP 200;null;"To use an appropriate conceptual understanding of detailed foundational knowledge of accounting information
systems and appropriate reporting frameworks in a familiar business context that is relevant to a company or
basic group of companies to
 prepare, present and interpret the external reports
 identify reporting and ethical problems and
 propose appropriate ethical solutions with adequate justification that are in the interest of relevant
stakeholders."
null;null;null;null;Taxation 201;TXA 201;null;"To use an appropriate conceptual understanding of detailed foundational knowledge of the structure and
legislative framework of the different types of taxes in South Africa in a familiar business context that is relevant
to individuals, a company or basic group of companies to
 interpret and apply the relevant tax laws and calculate the tax payable
 fulfil the compliance obligations of different types of taxpayers
 identify tax related and ethical problems and
 propose appropriate ethical solutions with adequate justification that are in the interest of relevant
stakeholders"
null;null;null;null;Applications in data science 212;WST 212;null;"Introductory machine learning concepts. Data base design and use. Data preparation and extraction. Statistical
modelling using data base structures. Statistical concepts are demonstrated and interpreted through practical
coding and simulation within a data science framework"
null;null;null;3;Business acumen 300;BUS 300;null;"set goals, acquire and critically reflect on new knowledge, skills or experiences and
 influence themselves, others and society in straightforward and unambiguous settings.
To use a comprehensive conceptual understanding of their in- depth foundational knowledge and skills in an
intra-, inter-, multi- and transdisciplinary unfamiliar business context that is relevant to companies or complex
group of companies to
 identify and interpret ethical and authentic business- related problems and
 propose innovative and creative ethical solutions with compelling justification that creates value for society."
null;null;null;null;Financial decision-making 300;FDM 300;null;"To use a comprehensive conceptual understanding of in-depth foundational knowledge of financial decisionmaking and strategy in an unfamiliar business context that is relevant to companies or complex group of
companies to
evaluate a financial decision
develop and interpret strategy
identify decision-making, strategy and ethical problems
propose optimal ethical solutions with compelling justification that creates value for society."
null;null;null;null;Governance and assurance 300;GOA 300;null;"To use a comprehensive conceptual understanding of in-depth foundational knowledge of business processes,
governance and assurance principles as it is applied in an unfamiliar business context that is relevant to
companies or complex group of companies to
 present a governance, risk and control assessment and plan
 perform an audit engagement
 identify ethics and assurance-related problems and
 propose optimal ethical solutions with compelling justification
that creates value for society"
null;null;null;null;Informatics 324;INF 324;null;Information systems in organisations.
null;null;null;null;Design thinking and business innovation 317;OBS 317;null;"Creativity, innovation and identification of opportunities: the role of creativity; techniques to facilitate creativity;
barriers to creativity; creative versus critical thinking within the broad business managerial context. Creative
problem-solving and identification of opportunities: identification of opportunities; development of ideas;
evaluation and prioritising of ideas, ideation and design thinking. Creativity and its role in design thinking
towards facilitating business innovation. Design thinking techniques are applied with an emphasis on customer
empathy. Business innovation is translated from the process of design thinking into incremental or disruptive
new products, services and or processes. A clear understanding is created with regard to the following elements
in business innovation: types and forms; technology waves; models; processes and sources. The management of
innovation is also an integral part of the module."
null;null;null;null;Responsible reporting 300;RRP 300;null;"To use a comprehensive conceptual understanding of in-depth foundational knowledge of accounting
information systems and appropriate reporting frameworks in an unfamiliar business context that is relevant to
companies or complex group of companies to
 prepare, present and interpret the external reports identify ethical and reporting problems and
 propose optimal ethical solutions with compelling justification
that creates value for society."
null;null;null;null;Taxation 301;TXA 301;null;"To use a comprehensive conceptual understanding of in-depth foundational knowledge of the structure and
legislative framework of the different types of taxes in South Africa in an unfamiliar business context that is
relevant to individuals, companies or complex group of companies to
 interpret and apply the relevant tax laws and calculate the tax payable
 fulfil the compliance obligations of different types of taxpayers
 identify tax related and ethical problems, further information required or the need to obtain specialist advice
and
 propose optimal ethical solutions with compelling justification that creates value for society."
null;null;BCom (Agribusiness Management);1;Marketing management 120;BEM 120;null;"This module provides an overview of the fundamentals of marketing by considering the exchange process,
customer value, marketing research and the development of a marketing plan. It also addresses the
marketing mix elements with specific focus on the seven service marketing elements namely the service
product, physical evidence, people, process, distribution, pricing and integrated marketing communication."
null;null;null;null;Economics 110;EKN 110;null;"This module deals with the core principles of economics. A distinction between macroeconomics and
microeconomics is made. A discussion of the market system and circular flow of goods, services and money is
followed by a section dealing with microeconomic principles, including demand and supply analysis, consumer
behaviour and utility maximisation, production and the costs thereof, and the different market models and firm
behaviour. Labour market institutions and issues, wage determination, as well as income inequality and poverty
are also addressed. A section of money, banking, interest rates and monetary policy concludes the course."
null;null;null;null;Economics 120;EKN 120;null;"This module deals with the core principles of economics, especially macroeconomic measurement the private
and public sectors of the South African economy receive attention, while basic macroeconomic relationships and
the measurement of domestic output and national income are discussed. Aggregate demand and supply
analysis stands core to this course which is also used to introduce students to the analysis of economic growth,
unemployment and inflation. The microeconomics of government is addressed in a separate section, followed by
a section on international economics, focusing on international trade, exchange rates and the balance of
payments. The economics of developing countries and South Africa in the global economy conclude the course."
null;null;null;null;Financial accounting 111;FRK 111;null;"The nature and function of accounting; the development of accounting; financial position; financial result; the
recording process; processing of accounting data; treatment of VAT; elementary income statement and balance
sheet; flow of documents; accounting systems; introduction to internal control and internal control measures;
bank reconciliations; control accounts; adjustments; financial statements of a sole proprietorship; the accounting
framework"
null;null;null;null;Financial accounting 122;FRK 122;null;"Budgeting, payroll accounting, taxation – income tax and an introduction to other types of taxes, credit and the
new Credit Act, insurance, accounting for inventories (focus on inventory and the accounting entries, not
calculations), interpretation of financial statements."
null;null;null;null;Informatics 183;INF 183;null;Computer processing of accounting information.
null;null;null;null;Communication management 182;KOB 182;null;"Acquiring basic business communication skills will enhance the capabilities of employees, managers and leaders
in the business environment. An overview of applied skills on the intrapersonal, dyadic, interpersonal, group
(team), organisational, public and mass communication contexts is provided. The practical part of the module
(for example, the writing of business reports and presentation skills) concentrates on the performance
dimensions of these skills as applied to particular professions."
null;null;null;null;Business management 114;OBS 114;null;"The entrepreneurial mind-set; managers and managing; values, attitudes, emotions, and culture: the manager
as a person; ethics and social responsibility; decision making; leadership and responsible leadership; effective
groups and teams; managing organizational structure and culture inclusive of the different functions of a generic
organisation and how they interact (marketing; finance; operations; human resources and general
management); contextualising Sustainable Development Goals (SDG) in each of the topics."
null;null;null;null;Business management 124;OBS 124;null;"Value chain management: functional strategies for competitive advantage; human resource management;
managing diverse employees in a multicultural environment; motivation and performance; using advanced
information technology to increase performance; production and operations management; financial
management; corporate entrepreneurship."
null;null;null;null;Statistics 110;STK 110;null;"Sampling and the collection of data; frequency distributions and graphical representations. Descriptive
measures of location and dispersion.
Probability and inference:
Introductory probability theory and theoretical distributions. Sampling distributions. Estimation theory and
hypothesis testing of sampling averages and proportions (one and two-sample cases). Supporting mathematical
concepts. Statistical concepts are demonstrated and interpreted through practical coding and simulation within
a data science framework."
null;null;null;null;Statistics 120;STK 120;null;"Analysis of variance, categorical data analysis, distribution-free methods, curve fitting, regression and
correlation, the analysis of time series and indices. Statistical and economic applications of quantitative
techniques: Systems of linear equations: solving and application. Optimisation, linear functions, non-linear
functions. Marginal and total functions. Stochastic and deterministic variables in statistical and economic
context: producers' and consumers' surplus. Supporting mathematical concepts. Statistical concepts are
illustrated using simulation within a data science framework.
This module is also presented as STK 121, an anti-semester module. This is a terminating module."
null;null;null;2;Business law 210;BER 210;null;Basic principles of law of contract. Law of sales, credit agreements, lease.
null;null;null;null;Economics 224;EKN 224;null;"Microeconomics
Microeconomic insight is provided into: consumer and producer theory, general microeconomic equilibrium,
Pareto-optimality and optimality of the price mechanism, welfare economics, market forms and the production
structure of South Africa. Statistic and econometric analysis of microeconomic issues."
null;null;null;null;Economics 244;EKN 244;null;"Microeconomics
From general equilibrium and economic welfare to uncertainty and asymmetric information. In this module we
apply the principles learned in EKN 224 on the world around us by looking at the microeconomic principles of
labour and capital markets, as well as reasons why the free market system could fail. We touch on the
government’s role in market failures. The course includes topics of the mathematical and econometric analysis
of microeconomic issues"
null;null;null;null;Introduction to agricultural economics 210;LEK 210;null;"ntroduction to the world of agricultural economics: where to find practising agricultural economics services,
overview of South African Agricultural Economy, scope of agricultural economics. Introduction to consumption
and demand: utility theory, indifference curves, the budget constraint, consumer equilibrium, the law of
demand, consumer surplus, tastes and preferences, and measurement and interpretation of elasticities.
Introduction to production and supply: condition for perfect competition, classification of inputs, important
production relationships, assessing short-run business costs, economics of short-run decisions. Isoquants, isocost line, least cost combination of inputs, long-run expansion of inputs, and economics of business expansion,
production possibility frontier, iso-revenue line and profit maximising combination of products. Introduction to
market equilibrium and product prices: market equilibrium in a perfectly competitive market, total economic
surplus, changes in welfare, adjustments to market equilibrium, market structure characteristics, market
equilibrium in a imperfectly competitive market, government regulatory measures. Introduction to financial
management in agriculture: Farm management and agricultural finance, farm management information;
analysis and interpretation of farm financial statements; risk and farm planning. Budgets: partial, break-even,
enterprise, total, cash flow and capital budgets. Elements of business plan, marketing planning and price risk.
Financial structuring and sources of finance for farm business. Time value of money."
null;null;null;null;Agricultural economics 220;LEK 220;null;"The agribusiness system; the agricultural value chain, the unique characteristics of agricultural products;
marketing functions and costs; historical evolution of agricultural marketing in South Africa. The marketing
environment. Consumer behaviour and consumer trends. Introduction to supply and demand analysis.
Developing a marketing plan and strategies for agricultural commodities; market analysis; product
management; distribution channels for agricultural commodities, the agricultural supply chain. Introduction to
the agricultural futures market. Marketing in the 21st century. Online marketing, social media. Market structure."
null;null;null;null;Business management 210;OBS 210;null;"Logistics management
The role of logistics in an enterprise; definition and scope of customer service; electronic and other logistics
information systems; inventory management; materials management with special reference to Japanese
systems; management of the supply chain. Methods of transport and transport costs; types and costs of
warehousing; electronic aids in materials handling; cost and price determination of purchases; organising for
logistics management; methods for improving logistics performance."
null;null;null;null;Business management 220;OBS 220;null;"Project management and negotiations:
Introduction Project management concepts; needs identification; the project, the project manager and the
project team; types of project organisations; project communication and documentation. Planning and control:
planning, scheduling and schedule control of projects; resource considerations and allocations; cost planning
and performance evaluation.
Negotiation and collective bargaining: The nature of negotiation; preparation for negotiation; negotiating for
purposes of climate creation; persuasive communication; handling conflict and aggression; specialised
negotiation and collective bargaining in the South African context."
null;null;null;null;Economics 310;EKN 310;null;"Public finance
Role of government in the economy. Welfare economics and theory of optimality. Ways of correcting market
failures. Government expenditure theories, models and programmes. Government revenue. Models on taxation,
effects of taxation on the economy. Assessment of taxation from an optimality and efficiency point of view.
South African perspective on public finance."
null;null;null;null;Economics 320;EKN 320;null;"Economic analyses
Identification, collection and interpretation process of relevant economic data; the national accounts (i.e. income
and production accounts, the national financial account, the balance of payments and input-output tables);
economic growth; inflation; employment, unemployment, wages, productivity and income distribution; business
cycles; financial indicators; fiscal indicators; social indicators; international comparisons; relationships between
economic time series - regression analysis; long-term future studies and scenario analysis; overall assessment of
the South African economy from 1994 onwards"
null;null;null;null;Agricultural economics 310;LEK 310;null;"Historical evolution of South African agricultural policy. Agriculture and the state (communicating the legislative
process in detail): reasons for government intervention (government and stakeholder engagement). Theoretical
aspects of agricultural policy. Introduction to agricultural policy analysis. Welfare principles, pareto optimality.
Macroeconomic policy and the agricultural sector. International agricultural trade (including inter-governmental
communication)"
null;null;null;null;Agricultural economics 320;LEK 320;null;"The modern food and agribusiness system. Key drivers in the global context. Whole farm planning including
business planning, financial analysis and financial modelling, capital acquisition and creditworthiness, time value
of money and the investment decision, Decision making in agriculture under risk and uncertain cirmumstances
and risk management. Operational and strategic management. Business plan and scenario planning
assignments."
null;null;null;null;Agricultural market and price analysis 431;LEK 431;null;"After providing an appropriate background in the theoretical concepts of demand (theory of the consumer) and
supply (theory of the firm) these basics will be applied in the generation of optimization techniques such as
Lagrange optimization and linear programming. The work will cover the identification of supply and demand
shifters as well as the elasticities, flexibilities, and impact multipliers. The theory will underpin the development
of econometric simulation models for selected agricultural sectors. Practical experience in the formulation of
these models will be attained from practical sessions."
null;null;BCom (Financial Sciences);1;Economics 110;EKN 110;null;"This module deals with the core principles of economics. A distinction between macroeconomics and
microeconomics is made. A discussion of the market system and circular flow of goods, services and money is
followed by a section dealing with microeconomic principles, including demand and supply analysis, consumer
behaviour and utility maximisation, production and the costs thereof, and the different market models and firm
behaviour. Labour market institutions and issues, wage determination, as well as income inequality and poverty
are also addressed. A section of money, banking, interest rates and monetary policy concludes the course."
null;null;null;null;Economics 120;EKN 120;null;"This module deals with the core principles of economics, especially macroeconomic measurement the private
and public sectors of the South African economy receive attention, while basic macroeconomic relationships and
the measurement of domestic output and national income are discussed. Aggregate demand and supply
analysis stands core to this course which is also used to introduce students to the analysis of economic growth,
unemployment and inflation. The microeconomics of government is addressed in a separate section, followed by
a section on international economics, focusing on international trade, exchange rates and the balance of
payments. The economics of developing countries and South Africa in the global economy conclude the course."
null;null;null;null;Financial management 121;FBS 121;null;"Introduction to finance and investment, critical reasoning skills and problem solving techniques for finance and
investment, cost concepts, simple linear regression analysis for the purpose of forecasting future sales volumes
and costs, time series analysis for the purpose of forecasting future sales volumes, indexing for the purposes of
inflating and deflating a set of financial data, the functioning of the financial markets including interest rate and
foreign exchange mechanisms, mathematics for business including time value of money calculations. Where
appropriate, spread sheet applications (Excel) will be addressed as part of the respective topics being covered.
Contemporary issues in finance and investment."
null;null;null;null;Financial accounting 111;FRK 111;null;"The nature and function of accounting; the development of accounting; financial position; financial result; the
recording process; processing of accounting data; treatment of VAT; elementary income statement and balance
sheet; flow of documents; accounting systems; introduction to internal control and internal control measures;
bank reconciliations; control accounts; adjustments; financial statements of a sole proprietorship; the accounting
framework"
