University;Faculty;Qulification;Year;Modules;Module Code;SAQA credits;Description
null;null;null;null;Nursing Ethos and Professional Practice I;NRE115P;6;The aim of this course is to develop professional nurses to practice within professional, ethical and legal parameters. “Students accepted for the short course can apply for exemptions - RPL in one of the Post Graduate Diplomas: Nursing for the subject that this short course deals with.
null;null;null;null;General Anatomy II;GA2116P;12;Topics include the endocrine system, cardiovascular system, lymphatic and immune system, respiratory system, digestive system, urinary system, reproductive system, and fluid, electrolyte and acid/base balance.
null;null;null;null;General Microbiology;GMB115P;6;Topics include the various groups of microorganisms, their structure, physiology, genetics, microbial pathogenicity, infectious diseases, immunology, and selected practical applications.
null;null;null;null;Introduction to Pharmacology in Nursing;IPN115P;6;PHARMACOLOGY is the study of drugs and their effects on the body. PRECAUTIONS refer to actions that should be employed when medications are prescribed that can cause adverse effects in specific populations or with other drugs or foods.
null;null;null;2;Education and Management in Nursing I;EMN216P;6;It is a leadership role in a given healthcare setting. This strategic management of staff, patients, and facilities is done by implementing policies written by the nurse administrator or senior staff.
null;null;null;null;General Physiology II;GPY216P;12;General Physiology II is the science of the function of living systems which includes how organisms, organ systems, organs, cells and bio- molecules carry out the chemical or physical functions that exist in a living system.
null;null;null;null;Parasitology I;PSL215P;6;Identify clinical signs, symptoms, treatment and epidemiology associated with human parasitic disease. Examine specimen collection and transportation. Explore laboratory methods used to detect and identify parasites.
null;null;null;null;Introduction to Research I;RNS216P;6;"To improve students' understanding of the concepts related to research methodology; to improve the students' ability to communicate ideas about science, including a significant amount of writing; and survey of both quantitative and qualitative research methods."
null;null;null;null;Applied Pharmacology Nursing II;APN216P;6;Pharmacology for Nursing II extends the core pharmacological principles presented in Pharmacology for Nursing 1. This course examines the nurses' role in the administration of more complex drugs and more sophisticated routes of administration.
null;null;null;null;Health Information Management II: Data Analysis;HIM216P;6;The curriculum focuses on health care management, data and information management practices, health information systems and technology
null;null;null;null;Introduction to Midwifery;IMW216P;6;This course will cover several concepts associated with midwifery, including the history of the profession, how to become a midwife and how to practise as a midwife. This online course provides students with a comprehensive training programme that allows them to study whenever and wherever is convenient.
null;null;null;null;Nursing Ethos and Professional Practice II;NRE216P;6;A professional practice model describes how registered nurses practice, collaborate, communicate, and develop professionally to provide the highest-quality care for those served by the organization.
null;null;null;3;Health Information;HIM317P;6;This course will provide an overview of information technology including system analysis and design, data and network management, and information systems architecture and how each directly impacts clinical healthcare personnel.
null;null;null;null;Nursing Ethos and Professional Practice III;NRE317P;6;The primary purpose of this qualification is to develop the intellectual and practical competencies of the qualifying student and to facilitate them
null;null;null;null;Research II: Research Methodology in Nursing;RNS317P;6;This course introduces you to research methods and their application across liberal and professional studies as preparation for lifelong inquiry. Emphasis is on qualitative and quantitative research approaches, experimental design, sampling, measurement, analysis, ethics in research, and research communication.
null;null;null;null;Education and Management in Nursing II;EMN317P;6;It is a leadership role in a given healthcare setting. This strategic management of staff, patients, and facilities is done by implementing policies written by the nurse administrator or senior staff.
null;null;null;null;Pharmacology in Nursing III: Midwifery and Specifics;PMF317P;6;This module introduces student prescribers to the core discipline of Pharmacology. The initial block of lectures covers the concepts of mechanism of drug action.
null;null;null;4;"Nursing Ethos and Professional
Practice IV";NRE418P;6;The aim of this course is to develop professional nurses to practice within professional, ethical and legal parameters. “Students accepted for the short course can apply for exemptions - RPL in one of the Post Graduate Diplomas: Nursing for the subject that this short course deals with.
null;null;null;null;Pharmacology in Nursing IV: Dispensing;PDS418P;12;Pharmacology is the study of the actions of drugs, incorporating knowledge from other sciences. Drugs are classified based on their action or effect on the body or by their chemical characteristics.
null;null;null;null;Education and Management in Nursing III;EMN418P;6;It is a leadership role in a given healthcare setting. This strategic management of staff, patients, and facilities is done by implementing policies written by the nurse administrator or senior staff.
null;null;null;null;Health Information Management IV;HIM418P;6;This course is designed to be an advanced study of methods and techniques to manage health care data with primary focus on electronic records. Topics include healthcare databases, documentation guidelines and evaluation of compliance with regulations and standards.
null;null;HEALTH SCIENCE IN CLINICAL TECHNOLOGY;1;Chemistry for Health Sciences I;CHS115P;12;The course is designed to show the centrality of chemistry between the physical and life sciences. Topics covered will include measurement and unit conversion, atomic and molecular structure of matter, solutions, acid/base chemistry, organic chemistry and structure of proteins, carbohydrates, and fats.
null;null;null;null;Physics for Health Sciences I;PHS115P;12;This introductory course explores mechanics, waves, fluids, thermodynamics, electromagnetism, optics, and assorted topics in modern physics.
null;null;null;null;Research Principles I;RPL115P;6;To provide students with an understanding of the basic research skills for topics related to the construction industry and construction project
null;null;null;null;"Medical Law, Bio-Ethics and
Human Rights I";MBH115P;9;The course aims to develop capacity and excellence in the ethical & legal analysis of issues arising in health care and research.
null;null;null;2;Biomedical Apparatus II;BAP206P;18;Biomedical/medical devices are instruments, machines, implants, in vitro reagents, software, materials, or other related articles that are purposed for the safe and effective prevention, diagnosis, treatment, and rehabilitation of illness and disease for human beings.
null;null;null;null;Clinical Science Practice II;CLC206P;12;The programme aims to develop a sound knowledge of the medical and clinical sciences
null;null;null;null;Clinical Professional Practice II;CLP206P;12;This unit builds on students' understanding of the role of the pharmacist in providing healthcare services to different patient groups. Students will learn the fundamentals of dispensing prescriptions and medication counselling and further develop essential skills for pharmacy practice including communication skills.
null;null;null;null;Human Anatomy II;HAN206P;18;The second of two Anatomy and Physiology courses advances your knowledge of structure, function and interdependence of human body systems. Learn about the endocrine, circulatory, immune, respiratory, digestive, excretory and reproductive systems.
null;null;null;null;Human Physiology II;HPY206P;18;Topics include the endocrine system, cardiovascular system, lymphatic and immune system, respiratory system, digestive system, urinary system, reproductive system, and fluid, electrolyte and acid/base balance.
null;null;null;null;Pharmacology II;PMY206P;18;This unit consolidates your pharmacology knowledge and skills. You will investigate the mechanisms of action of therapeutic drugs used to manage disorders, conditions and diseases involving the central nervous, reproductive, gastrointestinal and endocrine systems.
null;null;null;null;Pathophysiology II;PTS206P;18;This course focuses on the pathophysiology of the human nervous, endocrine, gastrointestinal, and reproductive systems. Common mechanisms of pathogenesis are examined, including injury, autoimmunity, and neoplasia.
null;null;null;null;Medical Law, Bio-Ethics and Human Rights II;MBH216P;9;The course aims to develop capacity and excellence in the ethical & legal analysis of issues arising in health care and research.
null;null;null;null;Research Principles II;RPL216P;6;To provide students with an understanding of the basic research skills for topics related to the construction industry and construction projects
null;null;null;3;Clinical Professional Practice III;CLP307P;12;This course will provide opportunity to extend nursing practice in caring for patients in high acuity settings.
null;null;null;null;Health Care Administration and Management I;HAM307P;12;This course addresses challenges faced in healthcare administration and potential solutions using practical approaches. Topics include strategy, culture, managerial, and strategic issues facing healthcare organizations.
null;null;null;null;Medical Law, Bio-Ethics and Human Rights III;MBH317P;9;The course aims to develop capacity and excellence in the ethical & legal analysis of issues arising in health care and research.
null;null;null;null;Research Principles III;RPL307P;6;The course introduces the language of research, ethical principles and challenges, and the elements of the research process within quantitative and  qualitative
null;null;null;4;Clinical Education and Mentoring I;CDG408P;12;This module focuses on mentoring and coaching in relation to the purposes, context, processes, skills and impact on the clinical learning
null;null;null;null;Clinical Professional Practice IV;CLP408P;12;The unit introduces the key concepts of evidence-based practice, including those related to retrieving, appraising and applying research evidence as the basis for clinical decision making. The unit covers both a systems-based and patient-centred approaches to the development and delivery of clinical services.
null;null;null;null;Health Care Administration and  Management II;HAM408P;12;This course addresses challenges faced in healthcare administration and potential solutions using practical approaches.
null;null;null;null;Medical Law, Bio-Ethics and  Human Rights IV;MBH418P;9;The aim of the course is to train bioethics and medical law experts who will display skill and proficiency in the fields of bioethics & health law.
null;null;null;null;Pathophysiology IV;PTS418P;12;This course relates the knowledge of anatomy and physiology to the disruptions in homeostasis resulting in a disorder or disease process. Processes employed by the body in response to disruptions of homeostasis are examined.
null;null;null;null;Research Principles IV and Project;RPL408P;30;"Research Principles IV and
Project"
null;null;HEALTH SCIENCE IN MEDICAL LABORATORY SCIENCE;1;Chemistry for Health Sciences;CHI115P;12;The course is designed to show the centrality of chemistry between the physical and life sciences. Topics covered will include measurement and unit conversion, atomic and molecular structure of matter, solutions, acid/base chemistry, organic chemistry and structure of proteins, carbohydrates, and fats.
null;null;null;null;Foundation Life Skills;FLF125P;2;The purpose of assessment of Life Skills during the Foundation Phase is to assess the development of knowledge, concepts, skills and values that will help to prepare the Foundation Phase learner for more formal assessment during the Intermediate Phase.
null;null;null;null;Physics for Health Sciences I;PHS115P;12;This introductory course explores mechanics, waves, fluids, thermodynamics, electromagnetism, optics, and assorted topics in modern physics.
null;null;null;null;Research Principles I;RPN115P;6;To provide students with an understanding of the basic research skills for topics related to the construction industry and construction project
null;null;null;null;Cell Biology I;CBI115P;12;"In this course we will examine many different areas of cellular biology including: the synthesis and function of macromolecules such as DNA, RNA, and proteins; control of gene expression; membrane and organelle structure and function; bioenergetics; and cellular communication."
null;null;null;null;Immunology I;IMM115P;12;In addition to establishing the workings of a healthy immune system, the course will also address what underlies situations of inappropriate or insufficient immunity, such as allergy, autoimmunity and immune deficiency.
null;null;null;null;Medical Laboratory Science I;MLS115P;12;Laboratory Sciences programme is to produce graduates competent to apply theoretical and practical fundamental knowledge and skills in the fields of medical science and research.
null;null;null;null;Clinical Chemistry II;CCI206P;24;Topics include clinical enzymology, liver and cardiac function, iron metabolism, diabetes, lipid metabolism and other specialised clinical biochemistry tests.
null;null;null;null;Microbiology I;MBY216P;12;Our BSc Microbiology course involves the study of microorganisms with particular emphasis on the biology of bacteria, viruses, fungi and protozoan parasites.
null;null;null;null;Medical Laboratory Science II;MLS216P;6;Medical laboratory science is the use of clinical laboratory tests to detect, diagnose, monitor and treat disease. Blood, tissue and body fluids can be chemically analyzed and examined for foreign organisms and abnormalities.
null;null;null;null;Histology II;HST216P;12;Histology is the study of microscopic anatomy and is a vital tool in modern healthcare and many research environments. In this course students will be introduced to normal and abnormal microscopic anatomy of human tissues.
null;null;null;null;Immunohaematology II;IHM216P;12;This course presents advanced immunohematology principles and techniques in preparation for practice in the clinical blood bank laboratory.
null;null;null;null;Medical Microbiology II;MMI216P;12;This course illustrates structures and functions of bimolecules which includes carbohydrates, proteins, lipids, nucleic acids, enzymes and hormones. In the practical part of this course, students study the detection and quantitative determination of some of these biomolecules.
null;null;null;null;Research Principles II;RPN216P;6;This course illustrates structures and functions of bimolecules which includes carbohydrates, proteins, lipids, nucleic acids, enzymes and hormones. In the practical part of this course, students study the detection and quantitative determination of some of these biomolecules.
null;null;null;3;Clinical Chemistry III;CCI317P;12;Upon completion of this course, the student will demonstrate knowledge of: the principles and clinical applications of various photometric techniques an instrumentation, including spectrophotometry, atomic absorption photometry, fluorometry, chemiluminescence, turbidimetry, and nephelometry.
null;null;null;null;Haematology III;HTY317P;12;The Clinical Hematology course will cover the diagnosis and management of blood cell disorders, anatomy and physiology of hematopoiesis, routine specialized hematology tests, analysis, classification, and monitoring of blood cell abnormalities.
null;null;null;null;Integrated Cytology and Histology III;ICH317P;12;Cytology is the study of the cellular components. The objectives of this part of the course are to enable students to establish links between the morphology
null;null;null;null;Integrated Pathophysiology III;IPY317P;12;This course provides students with the opportunity to integrate existing scientific knowledge (anatomy, physiology, biochemistry, pharmacology and microbiology) with emerging empiric knowledge while developing an understanding of the complex pathophysiological mechanisms contributing to altered health states.
null;null;null;null;Medical Microbiology III;MMI317P;12;On completion of this course, the student will be able to: Know the microorganisms and parasites that can cause disease in human beings, including virulence mechanisms and the epidemiology of infections.
null;null;null;null;Clinical Laboratory Practice III;CLR317P;60;Course is designed to allow students to develop the skills, knowledge, and attitude required to function in a professional manner in the clinical laboratory
null;null;null;4;Diagnostic Laboratory Management IV;DLG418P;12;This subject will cover the following topics:  Professionalism, workforce and ethics, Communication, Management of resources, Management and leadership
null;null;null;null;Research Principles IV and Project;RPN408P;30;The course will introduce students to research principles and methods.
null;null;HEALTH SCIENCE IN VETERINARY TECHNOLOGY;1;Animal Anatomy I;ANM115P;12;Learn about animal biology, function in the body and structure from bones to soft tissues.
null;null;null;null;Animal Physiology I;ANP115P;12;Animal physiology is the study of how animals work. In this course, we will learn about the structures and functions that allow animals to adapt and survive in different ecosystems around the world.
null;null;null;null;Chemistry for Health Science I;CHC115P;12;The course is designed to show the centrality of chemistry between the physical and life sciences. Topics covered will include measurement and unit conversion, atomic and molecular structure of matter, solutions, acid/base chemistry, organic chemistry and structure of proteins, carbohydrates, and fats.
null;null;null;null;Physics for Health Sciences I;PHS115P;12;This introductory course explores mechanics, waves, fluids, thermodynamics, electromagnetism, optics, and assorted topics in modern physics.
null;null;null;null;Microbiology I;MBL115P;12;Our BSc Microbiology course involves the study of microorganisms with particular emphasis on the biology of bacteria, viruses, fungi and protozoan parasites.
null;null;null;null;Research Principles I;RPV115P;6;To provide students with an understanding of the basic research skills for topics related to the construction industry and construction project
null;null;null;null;Biochemistry II;BCH216P;12;Biochemistry describes in molecular terms the structures, mechanisms, and chemical processes shared by all organisms and provides organizing principles that underlie life in all its diverse forms.
null;null;null;null;Immunology II;IMM216P;12;Immunology course will see you learn about the components, principles and mechanisms of a healthy immune system
null;null;null;null;Microbiology II;MBL216P;12;This course is an introduction to microbiology that provides a strong grounding in fundamental aspects of the basic biology of bacteria
null;null;null;null;Research Principles II;RPV216P;6;The course introduces the language of research, ethical principles and challenges, and the elements of the research process within quantitative, qualitative
null;null;null;null;Veterinary Haematology II;VHT216P;12;Learn the practical application of hematology to companion animal medicine.
null;null;null;null;Histology II;HST216P;12;To acquire a basic background in histology
null;null;null;null;Serology II;SER216P;12;This course is intended to introduce fundamental and important aspects of the various immunological and serological methods used in laboratory diagnosis of disease, with insight into the basic mechanisms and reactions involved in such methods.
null;null;null;3;Clinical Veterinary Technology III in Entomology*;EMY307P;18;This course provides an introduction to the anatomy, physiology, genetics, population biology, diversity and phylogeny
null;null;null;null;Clinical Veterinary Technology III in Helminthology*;HMY307P;18;This course addresses the role of the veterinary technician in managing clinical cases in equine practice.
null;null;null;null;Clinical Veterinary Technology III in Molecular Biology*;MCB307P;24;This course covers molecular and cell biology at the cellular and organisimal levels.
null;null;null;null;Clinical Veterinary Technology III in Protozoology*;PZY307P;18;This course is designed to help veterinary technicians gain insight and understanding into normal animal behavior.
null;null;null;null;Research Principles III;RPV307P;6;The course introduces the language of research, ethical principles and challenges, and the elements of the research process within quantitative and qualitative
null;null;null;null;Clinical Veterinary Technology III in Virology*;VLY307P;18;This short course will cover principles of virus-host interactions and pathobiology with respect to human and animal viruses
null;null;null;null;Clinical Veterinary Technology III in Veterinary Microbiology*;VRM307P;18;Practical application of the theoretical aspects of small animal, production animal, equine and state veterinary practice covered in the core curriculum
null;null;null;4;Clinical Veterinary Technology IV in Bacteriology*;BTY408P;24;Develops the knowledge and skills necessary to perform microbiology assays in a veterinary laboratory.
null;null;null;null;Laboratory Management IV*;LBT418P;12;The purpose of the program is to provide the learner with knowledge and understanding of the fundamental management skills, behaviour and attitudes required
null;null;null;null;Clinical Veterinary Technology IV in Molecular Biology*;MCB408P;24;You will learn how molecules such as DNA, RNA, and proteins influence the fundamental processes of cellular life.
null;null;null;null;Clinical Veterinary Technology IV in Parasitology*;PAR408P;24;Large Animal Parasitology provides students with a foundation in parasitology and expand on the fundamentals taught in the core course.
null;null;null;null;Research Principles IV and Project*;RPV408P;30;The course covers research writing modes and methods, studio investigative processes and methodologies, critical thinking.
null;null;null;null;Clinical Veterinary Technology IV in Virology*;VLY408P;24;This module prepares students to acquire in-depth and analysed theoretical knowledge and understanding of the concepts and theories related to specific Single- and Double-stranded RNA, and DNA viruses and their presence in the veterinary environment, as well as the application of knowledge in clinical laboratory practice through a structured and managed Work-Integrated Learning programme. Students will gain the ability to select and apply a range of techniques, methods and procedures in order to perform clinical laboratory procedures/tests pertaining to single- and double-stranded RNA, and DNA viruses.
null;null;BACHELOR OF RADIOGRAPHY IN DIAGNOSTIC;1;Chemistry for Health Sciences I;CHS115P;12;This module prepares the student to understand and use fundamental concepts in chemistry. The student will be able to apply his/her knowledge of atomic theory, nomenclature, stoichiometry, chemical equilibrium, organic chemistry and gases and liquids to basic chemistry related problems. Upon completion, the student will be able to discuss fundamental concepts in chemistry and do related calculations
null;null;null;null;Physics for Health Sciences I;PHS115P;12;This module is aimed at enhancing student knowledge in fundamental concepts in mechanics, mechanical properties of fluids, thermal properties of matter, general and geometrical properties of waves, static electricity and electric circuits and their applications thereof
null;null;null;null;Research Principles I;RPH115P;6;This module which prepares the student to demonstrate knowledge of and engagement in the advanced aspects of research principles and techniques at the forefront related to a particular medical field of study or specialisation. Students should further be able to demonstrate understanding of the analysis and interpretation of research results, the structure and composition of a research report, as well as publications and presentations Students will gain knowledge in the use of specialised skills to identify, analyse and address abstract problems related to a research project in a field of study or specialisation, as well as to incorporate body of knowledge and methods during the problem solving process.
null;null;null;2;Clinical Radiographic Practice II;CRP206P;24;This module prepares the student to integrate basic and specialised radiographic knowledge to ultimately become professional, competent radiographers who are able to work in a multi-disciplinary health environment. The student will be able to apply his/her knowledge of Clinical Radiographic Practice within simulated and clinical environments.
null;null;null;null;Human Anatomy II;HAN206P;18;This module builds on prior knowledge of human anatomy and physiology. Upon completion, the student will be able to apply his/her knowledge of cellular components, tissue and organ systems to and overall perspective of a healthy human necessary in the medical community. Upon completion, the student will be able to understand important cellular concepts, identify all bones, muscles, nerves and have a sound basis of each organ system which includes the embryological development of each system. Students will also have mastered the practical skills to be confident in identifying all human body structures and location.
null;null;null;null;Human Physiology II;HPY206P;18;The student should demonstrate detailed knowledge of the human body’s cellular and chemical organisation, the principles of support and movement, the control and maintenance of the human body through the various organ systems, pathophysiology of organ systems and continuity contributing to their understanding of the physiology of a healthy human body. Upon completion, the student will be able to identify, explain and apply concepts and principles of organisation of the human body, control-, maintenance-, and pathophysiology of organ systems, sensory organs and continuity to the extent that they are able to successfully undertake various discipline specific modules related to human physiology. Students will also have the practical skills to be confident in all human body functions and their roles and apply this knowledge in a clinical setting. (
null;null;null;null;Radiographic Imaging II;RDI206P;18;This module prepares the student to apply, integrate, and demonstrate basic knowledge, skills and applicable attitudes to a range of advanced imaging modalities and associated advanced technology in the field of Diagnostic Radiography, to be able to understand the process of image formation at this level and also required for the student to become a skilled qualified diagnostic radiographer who can work independently in a multidisciplinary health environment.
null;null;null;null;Radiation Physics, Protection and Diagnostic Imaging Equipment II;RDQ206P;24;This module enables the student to apply his/her knowledge to recall and demonstrate an understanding of the major learning fields of general physics, radiation physics, electricity, basic physics of ultrasound, basic physics of MRI, physics of radiography and radiation safety and protection.
null;null;null;null;Radiographic Practice II;RPT206P;24;"This module prepares the student to demonstrate detailed radiographic knowledge of radiation effects and protection; specialised radiographic technique of the axial skeleton, appendicular skeleton and body systems; fluoroscopic principles; contrast medium administration and the emergency procedure; contrast medium examinations; mobile and intraoperative examinations; obstetrics and gynaecological imaging and soft tissue radiography and in so doing ultimately become professional, competent radiographers who are able to work in a multi-disciplinary health environment. The student will be able to apply his/her knowledge of Radiographic Practice within simulated and familiar clinical environments."
null;null;null;null;Radiographic Pathology II;RPY206P;18;This module prepares the student to acquire integrated knowledge of a wide range of pathologies with associated radiographic patterns, as found in the Cardiovascular-, Nervous-,Endocrine-, Reproductive- and Hematopoietic Systems. Furthermore, the student will acquire integrated knowledge of specific internal devices. This forms a knowledge base which intends to promote the student’s understanding of diseases found in abovementioned systems that patients suffer from. The student will be able to apply his/her knowledge of Radiographic Pathology in the field of Diagnostic Radiography. (
null;null;null;null;Research Principles II;RPH216P;6;This module prepares the student to demonstrate detailed understanding and knowledge of the main areas of research principles and the ability to apply concepts, principles and theories related to the framework of a research proposal, the different research methodologies and designs, as well as data collection principles, analysis, reliability, validity, rigour, trustworthiness, budget and funding. Through this module, the student will demonstrate understanding of the research problem and objectives within the context of a particular research methodology, as well as the ability to evaluate, select and apply the optimal sampling procedures, data collection principles relevant to a research methodology and design. Knowledge and the ability to analyse, synthesise, and evaluate information from different sources of scholarly academic information, including definitions, criteria, purposes, questionnaire designs, data collection principles and methods for the application during the research process will be obtained in preparation to the next level of research principles and procedures to follow
null;null;null;3;Clinical Radiographic Practice III;CRP307P;24;"This module prepares the student to integrate, demonstrate and apply specialised radiographic knowledge
and skills to ultimately become professional, competent radiographers who are able to work in a multi-disciplinary health environment. The student will be able to apply his/her integrated and applied knowledge
of Anatomy, Physiology, Advanced Pathology, Pattern Recognition, Imaging, basic research and computer
literacy within clinical radiography environment. This module is a clinical orientated theory and WIL integrated
module with the emphases mainly on Workplace-based learning. "
null;null;null;null;Health Care Administration and Management I;HAM307P;12;In this module, the student will be able to demonstrate integrated knowledge and the application of strategic management processes, different management models, importance and utilization of human resources within a health care environment.
null;null;null;null;Radiographic Imaging III;RDI307P;24;This module prepares the student to apply, integrate, and demonstrate in depth knowledge, skills and applicable attitudes to a range of advanced imaging modalities and associated advanced technology in the field of Diagnostic Radiography, to be able to independently work on the latest developments of technology such as Picture Archiving and Communication system (PACS) as well as Hospital Information Systems (HIS) and Radiology Information System (RIS).
null;null;null;null;Research Principles III;RPH307P;6;This module prepares the student to demonstrate integrated knowledge of the central and crucial areas of research principles and methodologies including the ability to apply concepts, principles and theories necessary for the compilation of a research proposal in the context of an academic and/or health science related environment. Through this module, students will gain understanding of the roles and responsibilities pertaining to the research supervisor and the researcher. Students will learn to differentiate between research methods and their suitability and ability to resolve specific research enquiries, act ethically and professionally with dignity and integrity, as well as to manage the processing of gathered data through advanced bio-statistical methods.
null;null;null;null;Radiographic Practice III;RPT307P;24;This module prepares the student to attain, apply and integrate specialised radiographic knowledge to ultimately become professional, competent radiographers who are able to work in a multi-disciplinary health environment. The student will be able to apply and integrate his/her knowledge of Anatomy, Physiology, Advanced Pathology, Pattern Recognition, basic research and computer literacy, as well as specific knowledge regarding specialised skull radiography, paediatrics. Computerized Tomography (CT) and specialised contrast media procedures such as Sialography, Dacrocystography, Sinography etc. In addition, integrated knowledge regarding other modalities will be obtained including Magnetic Resonance Imaging (MRI), Ultrasound, Nuclear Medicine and Radiation Oncology, as experienced in the clinical radiography environment.
null;null;null;null;Radiographic Pathology III;RPY307P;12;This module prepares the student to acquire integrated knowledge of a wide range of pathologies with associated radiographic patterns, as found in the Cardiovascular-, Nervous-,Endocrine-, Reproductive- and Hematopoietic Systems. Furthermore, the student will acquire integrated knowledge of specific internal devices. This forms a knowledge base which intends to promote the student’s understanding of diseases found in abovementioned systems that patients suffer from. The student will be able to apply his/her knowledge of Radiographic Pathology in the field of Diagnostic Radiography.
null;null;null;null;Sectional Anatomy and Pattern Recognition III;SAP307P;12;This module prepares the student to acquire integrated knowledge of sectional/slice images that demonstrate different regions of the body and a range of abnormal patterns associated with diseases as demonstrated on CT and MRI images. The module will furthermore prepare the student to distinguish between normal and abnormal radiographic patterns associated with disease. The student will be able to apply his/her knowledge of mentioned components of the module in the field of Diagnostic Radiography
null;null;null;null;Specialised Radiographic Imaging Equipment III;SRI307P;18;"This module prepares the student to demonstrate integrated knowledge in the fundamental concepts and functioning of x-ray apparatus used in various specialised diagnostic radiographic imaging modalities: Fluoroscopy, Dentistry, Mammography, Digital Radiography, Digital Tomography, MRI, Ultrasound, Bone Densitometry and Nuclear Medicine. In addition, it seeks to help students develop a conceptual understanding of the diagnostic x-ray imaging components per each modality; develop the ability to reason and compare in an organised manner; this is essential in optimising modalities"
null;null;null;4;Clinical Radiographic Practice IV;CRP408P;12;This module prepares the student to apply, integrate, and demonstrate in depth forefront knowledge, skills and applicable attitudes to a range of advanced imaging modalities and associated advanced technology in the field of Diagnostic Radiography, to be able to authentically perform specified specialised diagnostic examinations and procedures required at this level and also required for the student to become a highly skilled qualified diagnostic radiographer who can work independently in a multi-disciplinary health environment. The student will furthermore be able to apply his/her knowledge of medical law, bioethics and human rights to clinical professional practice, as well as the psycho-dynamics of patient management in a healthcare context. All previously accumulated acquired knowledge, skills and attitudes are being integrated and applied to achieve this level of performance in the clinical practice. This module relates directly to Work-integrated Learning (WIL) with the emphases mainly on Workplace-based learning.
null;null;null;null;Radiographic Imaging IV;RDI408P;12;This module prepares the student to apply, integrate, and demonstrate in depth forefront knowledge, skills and applicable attitudes to a range of advanced imaging modalities and associated advanced technology in the field of Diagnostic Radiography, to be able to operate specified specialised digital radiography equipment required at this level and also required for the student to become a highly skilled and qualified diagnostic radiographer who can work independently in a multi-disciplinary health environment.
