University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
null;null;null;null;PHYSICS 212;PHY212;null;null
null;null;null;null;PHYSICS 217;PHY217;null;null
null;null;null;null;PHYSICS 222;PHY222;null;null
null;null;null;null;PHYSICS 227;PHY227;null;null
null;null;null;null;STATISTICS 211;STA211;null;null
null;null;null;null;STATISTICS 221;STA221;null;null
null;null;null;4;COMPUTER SCIENCE 311;CSC311;null;null
null;null;null;null;COMPUTER SCIENCE 312;CSC312;null;null
null;null;null;null;INFORMATION SYSTEMS 361;IFS361;null;null
null;null;null;null;INFORMATION SYSTEMS 362;IFS362;null;null
null;null;null;null;MATHEMATICS 311;MAT311;null;null
null;null;null;null;MATHEMATICS 312;MAT312;null;null
null;null;null;null;MATHEMATICS 321;MAT321;null;null
null;null;null;null;MATHEMATICS 322;MAT322;null;null
null;null;null;null;PHYSICS 312;PHY312;null;null
null;null;null;null;PHYSICS 317;PHY317;null;null
null;null;null;null;PHYSICS 322;PHY322;null;null
null;null;null;null;PHYSICS 327;PHY327;null;null
null;null;null;null;STATISTICS 331;STA331;null;null
null;null;null;null;STATISTICS 332;STA332;null;null
null;null;null;null;STATISTICS 333;STA333;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Environmental & Water Science (3027);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
null;null;null;null;LIFE SCIENCES 151 (SF);LFS151;null;null
null;null;null;null;INTRODUCTION TO MATHEMATICS;MAM150;null;null
null;null;null;2;CHEMISTRY 116 (N);CHE116;null;null
null;null;null;null;CHEMISTRY 126 (N);CHM126;null;null
null;null;null;null;EARTH SCIENCE 111;ESC111;null;null
null;null;null;null;EARTH SCIENCE 121;ESC121;null;null
null;null;null;null;LIFE SCIENCES 152 (SF);LFS152;null;null
null;null;null;null;STATISTICS 151 (SF);STA151;null;null
null;null;null;3;GEOLOGY 231;APG231;null;null
null;null;null;null;GEOLOGY 232;APG232;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 211;BDC211;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 221;BDC221;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 222;BDC222;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 223;BDC223;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 211;EWP211;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 221;EWP221;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 222;EWP222;null;null
null;null;null;4;ENVIRONMENTAL & WATER SCIENCE 311;EWP311;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 312;EWP312;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 321;EWP321;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 322;EWP322;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Mathematics & Statistical Science (3031);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
null;null;null;null;MATHEMATICS 151 (SF);MAM151;null;null
null;null;null;null;PHYSICS 151 (SF);PHY151;null;null
null;null;null;2;MATHEMATICS 112;APM112;null;null
null;null;null;null;APPLIED MATHEMATICS 123;APM123;null;null
null;null;null;null;MATHEMATICS 152 (SF);MAM152;null;null
null;null;null;null;PHYSICS 152 (SF);PHY152;null;null
null;null;null;null;STATISTICS 111;STA111;null;null
null;null;null;null;STATISTICS 121;STA121;null;null
null;null;null;3;MATHEMATICS 211;MAT211;null;null
null;null;null;null;MATHEMATICS 212;MAT212;null;null
null;null;null;null;MATHEMATICS 221;MAT221;null;null
null;null;null;null;DISCRETE MATHEMATICS;MAT232;null;null
null;null;null;null;PHYSICS 212;PHY212;null;null
null;null;null;null;PHYSICS 217;PHY217;null;null
null;null;null;null;PHYSICS 222;PHY222;null;null
null;null;null;null;PHYSICS 227;PHY227;null;null
null;null;null;null;STATISTICS 211;STA211;null;null
null;null;null;null;STATISTICS 221;STA221;null;null
null;null;null;4;MATHEMATICS 311;MAT311;null;null
null;null;null;null;MATHEMATICS 312;MAT312;null;null
null;null;null;null;MATHEMATICS 321;MAT321;null;null
null;null;null;null;MATHEMATICS 322;MAT322;null;null
null;null;null;null;STATISTICS 331;STA331;null;null
null;null;null;null;STATISTICS 332;STA332;null;null
null;null;null;null;STATISTICS 333;STA333;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Mathematics & Statistical Science (3031);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
null;null;null;null;MATHEMATICS 151 (SF);MAM151;null;null
null;null;null;null;STATISTICS 151 (SF);STA151;null;null
null;null;null;2;MATHEMATICS 112;APM112;null;null
null;null;null;null;APPLIED MATHEMATICS 123;APM123;null;null
null;null;null;null;COMPUTER SCIENCE 101;COS101;null;null
null;null;null;null;MATHEMATICS 152 (SF);MAM152;null;null
null;null;null;null;STATISTICS 121;STA121;null;null
null;null;null;3;COMPUTER SCIENCE 211;CSC211;null;null
null;null;null;null;COMPUTER SCIENCE 212;CSC212;null;null
null;null;null;null;MATHEMATICS 211;MAT211;null;null
null;null;null;null;MATHEMATICS 212;MAT212;null;null
null;null;null;null;MATHEMATICS 221;MAT221;null;null
null;null;null;null;DISCRETE MATHEMATICS;MAT232;null;null
null;null;null;null;PHYSICS 217;PHY217;null;null
null;null;null;null;PHYSICS 227;PHY227;null;null
null;null;null;null;STATISTICS 211;STA211;null;null
null;null;null;null;STATISTICS 221;STA221;null;null
null;null;null;4;COMPUTER SCIENCE 311;CSC311;null;null
null;null;null;null;COMPUTER SCIENCE 312;CSC312;null;null
null;null;null;null;MATHEMATICS 311;MAT311;null;null
null;null;null;null;MATHEMATICS 312;MAT312;null;null
null;null;null;null;MATHEMATICS 321;MAT321;null;null
null;null;null;null;MATHEMATICS 322;MAT322;null;null
null;null;null;null;STATISTICS 331;STA331;null;null
null;null;null;null;STATISTICS 332;STA332;null;null
null;null;null;null;STATISTICS 333;STA333;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Medical Bioscience (3035);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
null;null;null;null;LIFE SCIENCES 151 (SF);LFS151;null;null
null;null;null;null;INTRODUCTION TO MATHEMATICS;MAM150;null;null
null;null;null;2;CHEMISTRY 116 (N);CHE116;null;null
null;null;null;null;CHEMISTRY 126 (N);CHM126;null;null
null;null;null;null;MEDICAL BIOSCIENCES 111;MBS111;null;null
null;null;null;null;MEDICAL BIOSCIENCES 121;MBS121;null;null
null;null;null;null;STATISTICS 151 (SF);STA151;null;null
null;null;null;3;BIOTECHNOLOGY 211;BTN211;null;null
null;null;null;null;BIOTECHNOLOGY 213;BTN213;null;null
null;null;null;null;BIOCHEMISTRY I 223;BTN223;null;null
null;null;null;null;MEDICAL BIOSCIENCE 231;MBS231;null;null
null;null;null;null;MEDICAL BIOSCIENCE 232;MBS232;null;null
null;null;null;null;MEDICAL MICROBIOLOGY 251;MIC251;null;null
null;null;null;null;MEDICAL MICROBIOLOGY 252;MIC252;null;null
null;null;null;4;MEDICAL BIOSCIENCE 331;MBS331;null;null
null;null;null;null;MEDICAL BIOSCIENCE 332;MBS332;null;null
null;null;null;null;MEDICAL MICROBIOLOGY 353;MIC353;null;null
null;null;null;null;MEDICAL MICROBIOLOGY 354;MIC354;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Physical Science (3120);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
