University of Free State;Faculty;Qualification;Year;Modules;Module Code;SAQA credits;Description
null;null;AGRICULTURAL ECONOMICS;1st Year;null;"AGEC1634
LMER1514
EACC1614
AGEC1514
AGRI1624
EBUS1624
LMER1624
AGEC1624
ONE OF:
ANIG1624
SCCS1624
CSIL1511
UFSS1504
*EALN1508 or AGAN1508
CSIL1521";null;"The objective of the degree is to train students to apply agricultural knowledge practically on the farm level as well as in agriculturally-related organisations. The BAgric qualification will allow persons to apply their knowledge in the fields of resource utilisation, agricultural production, processing, management and communication.
Learning programmes in this Field of study offer ONE option. Each student includes all the compulsory modules (row C1) from the prescribed disciplines for all three study
years. Students must select sufficient other modules (other science subjects as supportive electives) from the compulsory row of any other discipline or from their own electives
(E) to obtain a total of at least 120 credits for each year of study. Two modules at any NQF level can be replaced by any approved modules in the CESM categories for the SAQA
approved qualification. This modules must have the same NQF-level as well as enough credits to meet the minimum credits for the degree."
null;null;null;2nd Year;null;"AGEC2614
EECF1614
AGEC2624
AGEG2624
EECF1624
TWO OF:
CROP2614
SOIL2674
ANIG2613+ANIG2602
GRAS2614
ONE OF:
ANIG2623+ANIG2602
SCCS2624
WDMT2624";null;null
null;null;null;3rd Year;null;"AGEC3714
AGEC3734
EMIC2714
AGEC3724
AGEC3744
EMAC2724
AGMA3762 
ONE OF:
ANIG3713+ANIG3702
ANIG3754
CROP3754
SOIL3774
ONE OF:
ANIG3723+ANIG3702
CROP3764
SOIL3744
GRAS3763";null;null
null;null;BACHELOR OF CONSUMER SCIENCE;1st Year;"CONSUMER BEHAVIOUR
I-VI
FOOD I-VI
FOOD SECURITY I-IV
Clothing Construction I-IV
Interior I-IV
(Agricultural extension)";"CNSB1614
CNSF1614
AGEC1514
AGEX2614
CSIL1511
UFSS1504
*EALN1508 OR
AGAN1508

CNSB1624
CNSF1624
NUTB1624
AGEX2624
CSIL1521";null;"Consumer science is a study of the need of man regarding housing, clothing and food and the management of resources to satisfy these needs. After completion of this programme, the
B Consumer Science student will be capable of following a career as a Consumer Scientist, e.g. consumer consultant, designer, buyer, marketer, or quality control inspector of consumer
products. The student should also be capable of advising consumers on the management of time, energy and other resources. The major subjects are Foods, Consumer Science and
Textiles. Learning programmes in the CONSUMER SCIENCE Field of study offer two options. Each student includes all the compulsory modules (row C1) from the prescribed disciplines
for all three study years and selects sufficient other modules (other science subjects as supportive electives) from the compulsory row to obtain a total of at least 120 credits for each
year of study. Two modules at any NQF level can be replaced by any approved modules in the CESM categories for the SAQA approved qualification. This modules must have the same
NQF-level as well as enough credits to meet the minimum credits for the degree."
null;null;null;2nd Year;null;"CNSB2614
CNSF2614
CNFS2613
FSCS2634
AGEX3714

CNSB 2624
CNSF2624
CNFS2623
AGEX3724";null;null
null;null;null;3rd Year;null;"CNSB3714
CNSF3714
CNFS3714
AGEX3734 OR
AGEX3754
CNCD3732
(Community Development)
CNCR3704
(Research Methodology)

CNSB3724
CNSF3724
CNFS3724
AGEX3744 OR
AGEX3764";null;null
null;null;BACHELOR OF SCIENCE MAJORING IN AGRICULTURAL ECONOMICS;1st Year;null;"MATM1534
EBCS1514
AGEC1514
ONE OF:
BLGY1513
AGEC1634
CSIL1511
UFSS1504
*EALN1508 or AGAN1508

AGEC1624
MATM1644
STSA1624
ONE OF:
SCCS1624
ANIG1624
BLGY1643
CSIL1521";null;"The objective is to train scientists who, through research and practically orientated development, can promote a scientific subject in particular or agricultural science in general. After acquiring the BScAgriculture qualification, the person will have the following skills, e.g. problem identification and aim formulation, collecting and verification of data, systematisation and interpretation of data, effective communication
of information and making recommendations. Learning programmes in this Field of study offer ONE option. Each student includes all the compulsory modules (row C1) from the prescribed disciplines
for all three study years. Students must select sufficient other modules (other science subjects as supportive electives) from the compulsory row of any other discipline or from their own electives (E) to obtain
at least 120 credits for each year of study"
null;null;null;2nd Year;null;"AGEC2614
EECF1614
STSA2616
ONE OF:
CROP2614
SOIL2674
ANIG2613 + ANIG2602
GRAS2614

AGEC2624
STSA2626
EECF1624
ONE OF:
SCCS2624
ANIG2623
SCCS2684";null;null
null;null;null;3rd Year;null;"AGEC3714
AGEC3734
STSA3716
ONE OF:
ANIG3713 + ANIG3702
ANIG3754
CROP3754
SOIL3774

AGEC3724
AGEC3744
AGEC3721
STSA3726
ONE OF:
ANIG3723+ANIG3702
CROP3744
SOIL3744
GRAS3763";null;null
null;null;BIOLOGICAL SCIENCES;null;null;null;120 credits for each study year;"Rangeland- and Wildlife Ecology is the science of the relationships between Rangeland plants, animals and their environment. Rangelands across southern Africa has been studied over many years and by
adding wildlife dynamics to the ecosystem will contribute towards conservation and sustainability. This science based course has a strong conservation focus with a broad background in natural resources, the
environment, wildlife, zoology, genetics and botany to prepare a student for post-graduate studies and management careers. Knowing that Rangelands represent approximately almost 50% of the earth’s land
area and are the main provider to the multiple ecosystem services for wildlife, this is a suitable course where we will expand and diversify knowledge on ecological systems in our unique and diverse country.
Rangeland and wildlife ecologists could end up as environmental consultants, environmental planners and analysts, educators or an academic, program scientists and managers, wildlife biologists and field
ecologists where the knowledge can effectively be used in everyday practices being a biologist who not just understand, but also continue to study animals in their natural habitat and evaluate the effects of
human impact on their environment."
null;null;RANGELAND AND WILDLIFE ECOLOGY;1st Year;null;"BLGY1513
CHEM1513+CHEM1551/CHEM1501
PHYS1534
MATM1534
CSIL1511
UFSS1504
*EALN1508 OR AGAN1508

BLGY1663
BLGY1643
CHEM1643+CHEM1661
STSA1624
ANIG1624
CSIL1521";null;null
null;null;null;2nd year;null;"ANIP2614
GRAS2614
AT LEAST 32 CREDITS OF:
BTNY2616
ZLGY2616
GENE2616

ANIB2624
WDMT2624
AT LEAST 32 CREDITS OF:
BTNY2621 +
BTNY2626
ZLGY2626
GENE2626";null;null
null;null;null;3rd Year;null;"WDMT3714
TWO OF:
BTNY3714 + BTNY3712
BTNY3734 + BTNY3712
BTNY3754
ZLGY3714
ZLGY3734
GENE3713
GENE3703
GENE3733

GRAS3763
WILD3764
TWO OF:
BTNY3724
BTNY3744
BTNY3764
ZLGY3724
ZLGY3744
GENE3724
GENE3743";null;null
null;null;"BACHELOR OF SCIENCE MAJORING IN GEOSCIENCES
GEOGRAPHY FIELD OF STUDY 1";null;null;null;120 credits for each year of study;"The learning programmes in Geography and the Environmental sciences are studies of the properties and processes in the earth and on the surface and encompass a holistic study of the human environment and accompanying interactions and relationships. The programme is aimed at students who are interested in various aspects of the environment and can lead to specialisation as environmentalists. Careers in these sciences are divergent
because all institutions that are involved with resource utilisation are legally obliged to examine the impact of their activities on the environment. The connection of geographical information and computer technology simplifies
the storage, processing, modelling and presentation of information and expedites decision making."
null;null;GEOGRAPHY AND ENVIRONMENTAL SCIENCES;1st Year;null;"GEOH1614
GEOG1512
EBUS1514
BLGY1513
MATM1534
CSIL1511
UFSS1504
*EALN1508 OR AGAN1508

GEOP1524
STSA1624
GERS1624
SCCS1624
ONE OF:
BLGY1643
BLGY1663CSIL1521";null;null
null;null;null;2nd Year;null;"GEOP2614
GEOH2614
GERS2614
ONE OF:
BTNY2616
ZLGY2616

GEOP2624
GERS2624
GEOE2624
ONE OF:
BTNY2626+BTNY2621
ZLGY2626";null;null
null;null;null;3rd Year;null;"GEOP3714
GEOH3714
GEOG3702
GEOG3704
EBUS2714
ONE OF:
BTNY3712+BTNY3714 OR BTNY3734
ZLGY3734+ZLGY3714

GEOP3724
AGEC3724";null;null
null;null;GEOGRAPHY SPECIALISATION;1st Year;null;"GEOH1614
GEOG1512
EBUS1514
BLGY1513
MATM1534
CSIL1511
UFSS1504
*EALN1508 OR AGAN1508

GEOP1524
STSA1624
GERS1624
SCCS1624
ONE OF:
BLGY1643
BLGY1663
CSIL1521";null;null
null;null;null;2nd Year;null;"GEOP2614
GEOH2614
GERS2614
ONE OF:
SOIL2674
CLIM2614

GEOP2624
GERS2624
GEOE2624
ONE OF:
SCCS2684
SCCS2624";null;null
null;null;null;3rd Year;null;"GEOP3714
GEOH3714
GEOG3702
GEOG3704
GERS3714

GEOP3724
GERS3724
GEOH3724";null;null
null;null;POSTGRADUATE DIPLOMA IN INTEGRATED WATER MANAGEMENT;1st Year;"Introduction to Integrated Water
Management
Integrated Water Resource Management and
Legislation
Integrated Water Resources Science";"IWRM5810
IWRM5846
IWRM5820";120 credits;"Upon completion of the qualification students will be able to:
• Apply a holistic, integrated approach to solving complex environmental problems relating to water by making use of
social and ecological assessment and project management tools;
• Identify, interpret and implement the theory and applied knowledge related to water resources and processes and
environmental sustainability and assessment practices;
• Critically analyse the relationships between human development and the environment and to discriminate between
beneficial and detrimental environmental practices as they relate to water; and
• Make informed decisions, guided by ethical standards, scientific evidence and societal needs within the context of
integrated water management."
null;null;BACHELOR OF AGRICULTURE HONOURS;1st Year;null;null;120 credits minimum;"The aims of this degree are:
(a) to give the student the opportunity to do in-depth specialisation of his/her choice to broaden his/her knowledge with
respect to agriculture, rural development and agricultural management;
(b) to prepare the student for further postgraduate study;
(c) to lead the student in independent study of the main subject or field of specialisation; and
(d) to develop, through the Honours Degree in Agricultural Management, the student’s managerial skills in a variety
of functional areas in agricultural enterprise management and development and the management of agricultural
businesses."
null;null;Agricultural Management;1st Year;null;"AGMA6800
AGMA6815
AGMA6835
AGMA6825
AGMA6845";120 credits;null
null;null;Irrigation Management;1st Year;null;"AGMA6835
IRRI6808
IRRI6816
IRRI6826
IRRI6846";124 credits;null
null;null;Wildlife Management;1st Year;null;"AGMA6835
WDMT6816
WDMT6846
WDMT6806
WDMT6808";124 credits;null
null;null;"Animal Production
Management";1st Year;null;"AGMA6835
AGRI6808
AGRI6834
AGRI6814
AGRI6824
AGRI6844
AGRI6864";132 credits;null
null;null;BACHELOR OF SCIENCE HONOURS IN CONSUMER SCIENCE;1st Year;null;"COMPULSORY CNCS6809
ELECTIVES
CNCS6814
CNST6814
CNST6834
CNFD6808
NUTE6808
CNST6854

CNCS6824
CNST6824
CNST6844
CNST6864
FSCG6826
";120 credits minimum;"After completing the Honours learning programmes the graduates will possess the following skills:
• Knowledge of and engagement in an area at the forefront of a field, discipline or practice.
• An understanding of the theories, research methodologies, methods and techniques relevant to the field, discipline or
practice; and an understanding of how to apply this knowledge in a particular context.
• An ability to interrogate multiple sources of knowledge in an area of specialisation, and to evaluate knowledge and
processes of knowledge production.
• An understanding of the complexities and uncertainties of selecting, applying or transferring appropriate standard
procedures, processes or techniques to unfamiliar problems in a specialised field, discipline or practice.
• An ability to critically review information gathering, assessment and management processes in specialised contexts in
order to develop creative responses to problems and issues.
• An ability to present and communicate academic, professional or occupational ideas and texts effectively to a range of
audiences, offering creative insights, rigorous interpretations and solutions to problems and issues appropriate to the
context."
null;null;BACHELOR OF SPATIAL PLANNING HONOURS;1st Year;null;null;140 credits maximum;"After completing the programme, the graduates will possess the following skills:
• A thorough knowledge of the aims and purpose of urban and regional planning as well as planning theory, urban
planning theory, regional planning theory, philosophy and ethics.
• The ability to practically apply theory in urban and regional planning projects e.g. the capacity to analyse issues from
a theoretical and/or empirical perspective and to recommend suitable alternatives.
• The ability to apply and understand economics for planners, socio-cultural aspects in planning and environmental
planning; and link these to the everyday tasks and activities of urban and regional planners.
• The capacity to communicate clearly and logically, write good planning and research reports and debate these with
stakeholders."
null;null;null;null;null;null;null;null
null;null;null;null;"Research in Economics for Planners
Research in Socio-Cultural Aspects in Planning
Research in Environmental Planning
Land Use Management
Human Settlements Planning
Research in Urban Development Theory
Basic Practice in Urban and Regional Planning
Research in Regional Planning Theory
Urban and Regional Planning Research Report";"URRE6813/URRE6823
URSC6813/ URSC6823
UREP6813/UREP6823
URLM6813/ URLM6823
URHS6813/URHS6823
URUT6803
URBP6805
URRT6805
URMD6808";"12
12
12
12
12
12
20
20
32";null
null;null;BACHELOR OF SPATIAL PLANNING HONOURS SPECIALISATION MAJORING IN HUMAN SETTLEMENTS;1st Year;"Basic Practice in Urban and Regional Planning
Research in Environmental Planning
Research in Economics for Planners
Research in Urban Development Theory
Human Settlement Development Management
Human Settlement Management and Administration
Human Settlements Theory
Research Report in Human Settlements";"URBP6805
UREP6813/6823
URRE6813/6823
URUT6803
URDT6804
URHA6804
URHT6804
URRR6800";"20
12
12
12
16
16
16
40";"The Specialisation in Human Settlements combines urban planning and human settlement modules to enable graduates to
function effectively in planning sustainable human settlements with focus on the development and management of human
settlements as well as the theory related to human settlements and housing."
null;null;"BACHELOR OF SCIENCE HONOURS IN AGRICULTURE
HONOURS LEARNING PROGRAMMES";1st Year;null;null;120 credits minimum;"The objectives of the study for this degree are:
(a) to deepen and extend the student’s knowledge in modules of their choice in the context of research and extension;
(b) to prepare the student for further post-graduate study;
(c) to develop independent study capability in the student;
(d) to train the student how to collect, compile, collate, interpret and report subject literature and the effective communication thereof."
null;null;AGROMETEOROLOGY;1st Year;null;"Y SCCS6808
SCCS6824
CLIM6834
CLIM6844
CLIM6864
CLIM6814

CLIM6854
OR
One 16-credit NQF Exit
Level 8 modules from
any related discipline(s)
Note: students who
wish to pursue a career
as Meteorologist are
advised to complete the
following modules:
MATM1644
MATA2654
MATA2754 OR
MATA2664
PHYS1514 OR
PHYS1534
PHYS1624";null;null
null;null;AGRONOMY;1st Year;null;"CROP6814
CROP6824
CROP6834
CROP6844
SCCS6808";null;null
null;null;ANIMAL SCIENCE;1st Year;null;"ANIG6808
ANIB6814
ANIB6824
ANIN6834
ANIN6864
ANIP6814
ANIP6824";null;null
null;null;Grassland Science;1st Year;null;"GRAS6805
GRAS6808
GRAS6814
GRAS6824
GRAS6834
GRAS6844";null;null
null;null;Plant Breeding;1st Year;null;"PLTB6814
PLTB6824
PLTB6834
PLTB6854
PLTB6816
PLTB6808";null;null
null;null;Plant Pathology;1st Year;null;"PLTB6854
PPLG6816
PPLG6808
PPLG6824
PPLG6834
PPLG6844";null;null
null;null;Soil Science;1st Year;null;"SOIL6814
SOIL6824
SOIL6834
SOIL6844
SCCS6808
AGEG6808
SCCS6824";null;null
null;null;Wildlife Science;1st Year;null;"WILD6808
WILD6816
WILD6826
WILD6856
ZLGY6864";null;null
null;null;MASTER OF AGRICULTURE;1st Year;null;null;180 credits;"The aims of this degree study are: (a) to present specialised postgraduate agricultural management training; (b) to guide the student in such a way that he/she will be able to successfully integrate, communicate and apply the principles, concepts and knowledge of agricultural and management science; and (c) to enhance applicable research skills in order to enable the student to qualify as a specialist in his/her field."
null;null;AGRICULTURAL MANAGEMENT;1st Year;null;AGMA8900;null;null
null;null;AGRICULTURAL ECON;1st Year;null;AGEM8900;null;null
null;null;IRRIGATION MANAGEMENT;1st Year;null;IRRI8900;null;null
null;null;WILDLIFE MANAGEMENT;1st Year;null;WDMT8900;null;null
null;null;FOOD AND NUTRITION SECURITY;1st Year;null;CFNS8900;null;null
null;null;ANIMAL PRODUCTION MANAGEMENT;1st Year;null;AGRI8900;null;null
null;null;MASTER OF DISASTER MANAGEMENT;1st Year;null;null;120 credits;"The main aim of the programme is to provide disaster management practitioners, or those who may have future disaster management responsibilities, training in a holistic approach towards disaster
management. The programme will enable them to manage all kinds of disasters by implementing proactive disaster management strategies in terms of relevant legislation, policies and directives, and
effectively co-ordinate relief and recovery programs."
null;null;Disaster Management Mini dissertation;1st Year;"Ecosystem-Based Disaster Risk Reduction and Climate Change
Ethnic, Cultural Conduct and Indigenous Knowlede Systems
Geographical Information Systems and Remote Sensing in Disaster Management
Crisis Intervention and Trauma Management
Disaster Risk and Impact Assessment
Management of Media Relations and Communication in Disaster Management
Political Strategic Planning
Water related disasters";"DIMD7910
DIME7910
DIMG7900
DIMH7910
DIMI7910
DIMM7910
DIMP7900
DIMW7910";"60
30
30
30
60
30
30
30";null
null;null;MASTERS DEGREE IN SUSTAINABLE AGRICULTURE;1st Year;"Advanced Management of Natural Resources
Research Methodology and Methods for Sustainable Agriculture
Mini-dissertation
Advanced Livestock Production for Sustainable Agriculture
Sustainable Agriculture and Extension: Theory and Practice
Advanced Economics for Sustainable Agriculture";"SANR7906
SARS7906
SARP7900 
SALS7906
SAEX7906
SAEC7906";"24
24
60
24
24
24

180 Credits";"The aim of this multi- and interdisciplinary postgraduate degree in Sustainable Agriculture is to address the global need for research and professional capacity to research, and provide
solutions to sustainability in the field of agriculture. Sustainability in terms of food security, national resources and energy are key factors that inform the national and global development
agenda. Sustainable agriculture seeks to sustain farms, resources and communities by promoting farming practices and methods that are profitable, environmentally sound and to the
benefit of communities.
The Master’s Degree in Sustainable Agriculture contains 180 credits and is presented in a minimum period of one year. This degree will develop agricultural specialists that could support
sustainable agricultural practice, and in return support food security and socio-economic development.
The programme consists of five compulsory modules and submission of a research component in the form of a mini-dissertation. The programme requires assignments to be completed
by students and submitted at predetermined dates. Assignments will be marked and graded by the lecturers, who will give students feedback in a written and oral format during contact
sessions. Assignments will be part of a continual assessment process. The mini-dissertation, script or publishable manuscript or published article is conducted and examined under the
supervision of a supervisor or supervision committee. External assessment is done by a separate appointed panel of experts."
null;null;MASTER OF HUMAN SETTLEMENTS;1st Year;Dissertation in Human Settlement;URHS8900;180 credits;"These learning programmes aim to:
(a) Provide the student with the opportunity to present evidence of advanced study and research characterised by intellectual independence and advanced knowledge of a specialisation area in the subject, as well as accurate assessment of his/her own results and as well as that of others by production of a thesis, which places his/her research in broader context and which is capable of withstanding international intellectual scrutiny.
(b) Develop the student, who will be able to demonstrate knowledge and understanding of supervised planning and execution of a research project in the discipline. This project includes hypothesis
formulation, collecting appropriate experimental materials, optimising techniques and procedures, data acquisition, analysis and interpretation of results, and writing of a dissertation according to a
structured format and related literature."
null;null;STRUCTURED MASTER OF SCIENCE MAJORING IN CLIMATE CHANGE;1st Year;"Climate change and variability
Sustainability and climate change adaptation of agricultural systems
Research methodologies
Climate Change Mini dissertation
Policy, educational and economic aspects of climate change
Climate modelling and quantitative analysis";"CCSA7910
CLIM7908
CLIM7905
CLIM7900
CCSD7900
CCSC7900";"40
32
20
60
40
40";"After completion of the degree students will obtain a professional degree and possess the following skills:
• The capacity to combine the knowledge of the science behind climate change.
• Will have an understanding of the diverse and complex impacts of climate change on the environment.
• The ability to critically evaluate information and theories and to apply relevant concepts in innovative research."
null;null;MASTERS OF SCIENCE MAJORING IN MINERAL RESOURCE MANAGEMENT;1st Year;null;"GLGA7913/GLGA7923
GLGA7933/GLGA7943
GLGA7953/GLGA7963
GLGA7973/GLGA7983
GLGB7913/GLGB7923

GLGC7913/GLGC7923
GLGC7933/GLGC7943
GLGC7953/GLGC7963
GLGC7973/GLGC7983
GLGD7913/GLGD7923
GLGD7933/GLGD7943

GLGE7933/GLGE7943
GLGE7953/GLGE7963
GLGE7973/GLGE7983

GLGD7900";null;"Effective mining and mineral beneficiation is dependent on functional integrated management practices that include aspects such as geology, mining, mineral processing, financial management and mining-related legislation, among others (including all MRM practices).
• Mining has traditionally consisted of various disciplines, which have been managed, in a fragmented fashion. The results of fragmented management led to task duplication and noncoordination of activities that span the whole spectrum of mining functions. These actions invariably resulted in the development of a high cost structure.
• The main objective of the Master in Mineral Resource Management is to effectively integrate the relevant fields of expertise so as to manage mining activities in the most cost effective manner possible.
• The programme will consist of four separate parts taken over a period of at least two years. In phase one, students will be exposed to basic Geology, Mining, Metallurgy and Business Principles as an
introduction before being exposed to more detail in the applied modules. Phase two and three modules will contain more detail and will also address other deficiencies of the students.
• Upon the successful completion of the compulsory modules in Phase 1 and GLGD7913/7923 from Phase 2, four modules from Phase 2 and two modules from Phase 3 (a total of 12 modules) and
GLGD7900 (mini dissertation) from Phase 4, the student will obtain a MSc majoring in Mineral Resource Management."
null;null;MASTERS OF SCIENCES MAJORING IN INTEGRATED WATER MANAGEMENT;"BC470151
";"Research methods (Year module)
Water resources and environmental change
Water resources in arid environments 
Water management in an urbanizing world
Mini-dissertation";"IWRR7905
WRM7935
IWRM7965
IWRM7985
IWRM7900 (Year module)";180 credits;"The effect of the national drought in 2015/16 on the agricultural sector, as well as the Cape Town and Port Elizabeth water crises, highlighted the importance of ensuring adequate water supply for national
security in Southern Africa. Additional pressures, including climate change, population growth and increasing water pollution, coupled with weakening institutional capacity, complicates the effective management
of these challenges. There is, a pressing need for a new cohort of skilled and trained water professionals. The MSc majoring in Integrated Water Management focuses on the water system as a whole and
integrates information from various inter-connected sub-disciplines.
The Postgraduate Diploma would serve as a feeder programme for the MSc majoring in Integrated Water Management with the provision that the students entering must also have the necessary scientific
undergraduate backing in the form of a Bachelor of Science or relevant, equivalent qualification. Furthermore, we have also received several external enquiries from candidates from all levels of government,
industry and academia. These candidates will also be considered for entrance in the MSc programme, granted they have successfully completed a relevant qualification in integrated water management at NQF."
